provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,27020,27023,27023,27066,27142,27181,27181,27181
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,10583,10590,10605,10629,10653,10679,10703,10703
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,529440,529479,529977,530700,531501,531818,532451,532594
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,2049,2049,2049,2049,2053,2053,2053,2053
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,12075,12079,12093,12100,12119,12138,12138,12138
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,2364,2364,2364,2364,2364,2364,2364,2364
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,38569,38569,38619,38679,38753,38824,38901,38936
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,12715,12715,12723,12732,12743,12787,12787,12787
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,2890,2896,2896,2896,2896,2910,2910,2910
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,27078,27078,27096,27118,27129,27159,27159,27162
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,7435,7438,7438,7438,7439,7441,7441,7441
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,3361,3361,3362,3362,3362,3363,3363,3363
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,22914,22922,22931,22963,22989,23029,23029,23029
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,3252,3252,3252,3253,3253,3254,3254,3254
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,22833,22839,22861,22885,22918,22953,22953,22953
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,14407,14412,14459,14504,14545,14628,14680,14694
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,18764,18764,18784,18838,18889,18948,18976,18976
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,12096,12096,12103,12119,12130,12144,12157,12165
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,14097,14097,14141,14196,14261,14322,14368,14393
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,86385,86385,86480,86573,86732,86939,87100,87144
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,6686,6686,6699,6715,6735,6754,6769,6769
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,25414,25415,25440,25452,25474,25503,25526,25527
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,12977,12977,12995,13009,13036,13046,13066,13066
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,13519,13519,13530,13535,13548,13566,13576,13576
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,15809,15809,15811,15819,15828,15832,15833,15835
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,28179,28182,28224,28244,28264,28285,28314,28314
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,9296,9296,9301,9301,9303,9307,9322,9323
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,101821,101831,101921,102026,102130,102199,102282,102288
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,76525,76527,76584,76644,76723,76805,76917,76948
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,11473,11473,11496,11513,11529,11547,11574,11581
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,41452,41457,41521,41578,41682,41786,41875,41879
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,4362,4362,4371,4371,4378,4386,4388,4388
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,9373,9373,9394,9416,9429,9444,9464,9482
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,51324,51324,51398,51499,51499,51635,51635,51717
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,5221,5221,5236,5274,5293,5313,5330,5336
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,29862,29892,29968,30087,30135,30192,30287,30287
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,9920,9920,9925,9939,9947,9955,9974,9974
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,9796,9798,9802,9808,9813,9824,9828,9828
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,27182,27221,27285,27369,27435,27496,27529,27533
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,15038,15038,15067,15112,15160,15205,15237,15254
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,27790,27790,27849,27905,27924,28011,28078,28080
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,32987,32989,33001,33022,33040,33065,33095,33096
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,10014,10035,10065,10095,10116,10139,10158,10170
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,8191,8191,8196,8198,8200,8202,8210,8210
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,238623,238626,238845,239083,239324,239512,239706,239791
Cotopaxi,488716,La Maná,56905,-0.9300000000000000,-79.22000000000000,42744,42744,42827,42979,43198,43457,43669,43669
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,191997,191998,192144,192297,192453,192591,192808,192898
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,18957,18957,18982,19005,19022,19042,19058,19058
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,54236,54262,54377,54464,54584,54702,54862,54876
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,62414,62420,62461,62488,62521,62563,62598,62600
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,27595,27595,27652,27711,27773,27829,27878,27898
