inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,54040,54046,54046,54132,54284,54362,54362,54362,27299,27348,27459,27531,27565,27688,27715,27715,27791,27865,27905,27961,27986,27997,28030,28068,28080,28106,28131,28177
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,21166,21180,21210,21258,21306,21358,21406,21406,10719,10761,10780,10794,10805,10813,10813,10816,10839,10847,10852,10855,10859,10859,10864,10872,10875,10878,10883,10890
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,1058880,1058958,1059954,1061400,1063002,1063636,1064902,1065188,533307,534203,534994,535743,536362,536858,537086,537214,537800,538158,538430,538649,538833,538919,538969,539114,539264,539413,539514,539642
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,4098,4098,4098,4098,4106,4106,4106,4106,1910,1910,1910,1912,1912,1914,1914,1914,1914,1914,1917,1919,1920,1920,1920,1920,1920,1921,1921,1921
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,24150,24158,24186,24200,24238,24276,24276,24276,12177,12192,12224,12256,12267,12279,12279,12280,12284,12291,12299,12309,12314,12314,12314,12325,12335,12344,12346,12346
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,4728,4728,4728,4728,4728,4728,4728,4728,2366,2366,2367,2369,2369,2370,2370,2370,2371,2371,2371,2371,2371,2371,2371,2372,2372,2372,2372,2372
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,77138,77138,77238,77358,77506,77648,77802,77872,38944,39075,39202,39294,39372,39453,39466,39466,39511,39567,39605,39621,39648,39652,39652,39697,39721,39741,39768,39796
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,25430,25430,25446,25464,25486,25574,25574,25574,12801,12805,12810,12860,12860,12889,12897,12899,12899,12906,12910,12934,12938,12938,12957,12957,12959,12959,12977,12977
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,5780,5792,5792,5792,5792,5820,5820,5820,2912,2918,2918,2920,2920,2921,2921,2923,2923,2923,2924,2930,2937,2937,2940,2940,2940,2941,2946,2947
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,54156,54156,54192,54236,54258,54318,54318,54324,27508,27543,27561,27581,27606,27628,27631,27647,27664,27679,27695,27700,27714,27717,27725,27730,27741,27747,27759,27764
01,Azuay,881394,0106,Pucará,10584,-3.233780000000000,-79.46120000000001,14870,14876,14876,14876,14878,14882,14882,14882,7460,7460,7515,7547,7561,7566,7568,7574,7578,7583,7583,7594,7596,7596,7607,7607,7611,7619,7621,7621
01,Azuay,881394,0107,San Fernando,4156,-3.144500000000000,-79.25200000000000,6722,6722,6724,6724,6724,6726,6726,6726,3362,3362,3368,3378,3385,3389,3389,3389,3394,3399,3401,3401,3401,3401,3402,3404,3404,3405,3405,3405
01,Azuay,881394,0108,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,45828,45844,45862,45926,45978,46058,46058,46058,23108,23150,23197,23257,23284,23321,23330,23353,23382,23403,23416,23425,23435,23454,23468,23475,23478,23489,23503,23503
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,6504,6504,6504,6506,6506,6508,6508,6508,3084,3084,3086,3086,3097,3098,3098,3098,3098,3099,3101,3101,3101,3102,3102,3102,3102,3102,3102,3102
01,Azuay,881394,0109,Sígsig,30509,-3.089700000000000,-78.80320000000000,45666,45678,45722,45770,45836,45906,45906,45906,23066,23131,23202,23277,23352,23411,23426,23469,23501,23520,23545,23553,23560,23561,23588,23609,23625,23649,23658,23662
02,Bolívar,209933,0206,Caluma,16429,-1.633330000000000,-79.25000000000000,28814,28824,28918,29008,29090,29256,29360,29388,14693,14735,14756,14779,14794,14821,14821,14821,14836,14864,14891,14912,14925,14925,14925,14943,14958,14967,14971,14979
02,Bolívar,209933,0202,Chillanes,16850,-1.933333000000000,-79.06666700000000,37528,37528,37568,37676,37778,37896,37952,37952,18970,19015,19062,19102,19130,19166,19166,19166,19208,19259,19300,19326,19361,19361,19361,19387,19402,19413,19435,19445
02,Bolívar,209933,0203,Chimbo,17378,-1.700000000000000,-79.01666700000000,24192,24192,24206,24238,24260,24288,24314,24330,12155,12169,12187,12196,12207,12217,12218,12218,12253,12267,12268,12278,12280,12286,12286,12294,12299,12304,12309,12318
02,Bolívar,209933,0204,Echeandía,14081,-1.433330000000000,-79.26667000000000,28194,28194,28282,28392,28522,28644,28736,28786,14405,14449,14505,14521,14524,14553,14563,14573,14579,14629,14658,14678,14700,14700,14702,14715,14723,14730,14742,14750
02,Bolívar,209933,0201,Guaranda,108763,-1.605556000000000,-79.00305600000000,172770,172770,172960,173146,173464,173878,174200,174288,87145,87309,87556,87803,88004,88148,88226,88249,88338,88421,88540,88579,88660,88677,88682,88733,88774,88852,88876,88904
02,Bolívar,209933,0207,Las Naves,7428,-1.283330000000000,-79.30000000000000,13372,13372,13398,13430,13470,13508,13538,13538,6772,6806,6815,6825,6837,6847,6847,6847,6858,6861,6866,6867,6874,6874,6874,6885,6885,6889,6893,6896
02,Bolívar,209933,0205,San Miguel,29004,-1.700000000000000,-79.03333300000000,50828,50830,50880,50904,50948,51006,51052,51054,25550,25557,25594,25624,25678,25703,25709,25716,25742,25757,25779,25797,25812,25815,25815,25825,25830,25846,25856,25863
04,Carchi,186869,0402,Bolivar,15528,0.5070990000000000,-77.86245400000000,25954,25954,25990,26018,26072,26092,26132,26132,13064,13072,13090,13112,13128,13150,13150,13150,13163,13176,13178,13181,13193,13193,13193,13197,13205,13213,13231,13233
04,Carchi,186869,0403,Espejo,13817,0.6210000000000000,-77.94000000000000,27038,27038,27060,27070,27096,27132,27152,27152,13576,13582,13597,13607,13622,13632,13632,13632,13637,13642,13649,13659,13661,13662,13662,13676,13679,13684,13691,13691
04,Carchi,186869,0404,Mira,11969,0.5538999999999999,-78.04930000000000,31618,31618,31622,31638,31656,31664,31666,31670,15846,15850,15864,15876,15879,15883,15883,15883,15898,15902,15902,15907,15909,15909,15909,15918,15922,15925,15925,15937
04,Carchi,186869,0405,Montúfar,34229,0.6100000000000000,-77.84000000000000,56358,56364,56448,56488,56528,56570,56628,56628,28323,28349,28380,28419,28462,28489,28489,28491,28545,28563,28604,28621,28644,28644,28644,28671,28697,28714,28723,28739
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,18592,18592,18602,18602,18606,18614,18644,18646,9321,9326,9332,9341,9348,9359,9360,9363,9373,9373,9374,9376,9380,9381,9382,9388,9390,9393,9396,9398
04,Carchi,186869,0401,Tulcán,102395,0.8121800000000000,-77.71633000000000,203642,203662,203842,204052,204260,204398,204564,204576,102316,102452,102580,102721,102895,103089,103099,103109,103235,103368,103463,103560,103662,103671,103675,103756,103800,103853,103889,103937
03,Cañar,281396,0301,Azogues,86276,-2.733333000000000,-78.83333300000000,153050,153054,153168,153288,153446,153610,153834,153896,76968,77061,77178,77269,77354,77491,77520,77547,77610,77679,77744,77789,77824,77838,77850,77880,77921,77980,78000,78038
03,Cañar,281396,0302,Biblían,23741,-2.710000000000000,-78.88000000000000,22946,22946,22992,23026,23058,23094,23148,23162,11584,11608,11633,11653,11666,11693,11698,11706,11717,11724,11744,11756,11762,11765,11769,11774,11778,11789,11800,11804
03,Cañar,281396,0303,Cañar,68747,-2.483700000000000,-78.97839999999999,82904,82914,83042,83156,83364,83572,83750,83758,42004,42102,42243,42361,42468,42565,42584,42610,42710,42790,42860,42932,42999,43009,43037,43115,43170,43202,43225,43245
03,Cañar,281396,0306,Déleg,6782,-2.772600000000000,-78.91830000000000,8724,8724,8742,8742,8756,8772,8776,8776,4391,4399,4404,4408,4412,4415,4415,4422,4429,4429,4432,4437,4438,4438,4445,4446,4449,4453,4454,4457
03,Cañar,281396,0305,El Tambo,12462,-2.508100000000000,-78.92489999999999,18746,18746,18788,18832,18858,18888,18928,18964,9498,9515,9541,9568,9589,9605,9609,9613,9634,9639,9646,9652,9662,9667,9667,9678,9680,9687,9692,9698
03,Cañar,281396,0304,La Troncal,76872,-2.400000000000000,-79.33000000000000,102648,102648,102796,102998,102998,103270,103270,103434,52000,52245,52543,52880,53099,53334,53437,53585,53866,54065,54232,54373,54523,54576,54639,54778,54883,55018,55093,55138
03,Cañar,281396,0307,Suscal,6516,-2.436400000000000,-79.05220000000000,10442,10442,10472,10548,10586,10626,10660,10672,5344,5351,5384,5406,5421,5429,5449,5449,5464,5483,5502,5519,5529,5546,5546,5552,5573,5579,5579,5583
06,Chimborazo,524004,0602,Alausí,45054,-2.200000000000000,-78.84999999999999,59724,59784,59936,60174,60270,60384,60574,60574,30265,30265,30336,30433,30516,30563,30583,30609,30660,30718,30757,30777,30796,30806,30834,30852,30858,30869,30876,30896
06,Chimborazo,524004,0604,Chambo,13378,-1.733333000000000,-78.58333300000000,19840,19840,19850,19878,19894,19910,19948,19948,10041,10057,10074,10087,10095,10108,10112,10112,10124,10131,10137,10141,10145,10146,10146,10152,10159,10162,10163,10166
06,Chimborazo,524004,0605,Chunchi,12795,-2.283333000000000,-78.91666700000000,19592,19596,19604,19616,19626,19648,19656,19656,9841,9841,9848,9853,9865,9869,9869,9870,9885,9889,9896,9915,9920,9920,9920,9927,9928,9928,9931,9936
06,Chimborazo,524004,0603,Colta,44838,-1.700000000000000,-78.75000000000000,54364,54442,54570,54738,54870,54992,55058,55066,27610,27659,27701,27749,27792,27832,27838,27862,27907,27930,27950,27959,27975,27988,28000,28031,28046,28061,28068,28079
06,Chimborazo,524004,0610,Cumandá,17973,-2.200000000000000,-79.13333299999999,30076,30076,30134,30224,30320,30410,30474,30508,15276,15303,15336,15368,15396,15413,15444,15459,15478,15496,15517,15522,15538,15542,15548,15563,15570,15580,15604,15615
06,Chimborazo,524004,0606,Guamote,58291,-1.933333000000000,-78.71666700000000,55580,55580,55698,55810,55848,56022,56156,56160,28096,28206,28305,28434,28689,28779,28789,28789,28944,29014,29048,29106,29167,29169,29183,29250,29290,29312,29359,29389
06,Chimborazo,524004,0607,Guano,48395,-1.583333000000000,-78.63333299999999,65974,65978,66002,66044,66080,66130,66190,66192,33135,33158,33187,33223,33249,33282,33294,33296,33313,33339,33361,33369,33380,33381,33383,33400,33407,33409,33414,33420
06,Chimborazo,524004,0608,Pallatanga,12277,-1.983333000000000,-78.95000000000000,20028,20070,20130,20190,20232,20278,20316,20340,10187,10225,10248,10279,10303,10336,10344,10366,10423,10498,10512,10527,10528,10531,10544,10550,10556,10561,10566,10576
06,Chimborazo,524004,0609,Penipe,6955,-1.557300000000000,-78.53959999999999,16382,16382,16392,16396,16400,16404,16420,16420,8193,8201,8208,8214,8217,8223,8226,8232,8235,8239,8241,8242,8244,8244,8247,8248,8249,8251,8252,8257
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347000000000,-78.64829400000001,477246,477252,477690,478166,478648,479024,479412,479582,239753,240021,240473,240750,240988,241267,241410,241567,241791,241977,242064,242149,242266,242304,242348,242481,242580,242665,242707,242802
05,Cotopaxi,488716,0502,La Maná,56905,-0.9300000000000000,-79.22000000000000,85488,85488,85654,85958,86396,86914,87338,87338,43687,43924,44174,44405,44646,44801,44821,44821,44980,45044,45171,45291,45367,45391,45405,45461,45504,45541,45579,45608
05,Cotopaxi,488716,0501,Latacunga,205624,-0.9333330000000000,-78.61666700000001,383994,383996,384288,384594,384906,385182,385616,385796,192912,193135,193475,193686,193955,194207,194295,194330,194478,194632,194745,194880,194966,194996,195010,195099,195173,195237,195280,195351
