provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021,07/07/2021,08/07/2021,09/07/2021,10/07/2021,11/07/2021,12/07/2021,13/07/2021,14/07/2021,15/07/2021,16/07/2021,17/07/2021,18/07/2021,19/07/2021,20/07/2021,21/07/2021,22/07/2021,23/07/2021,24/07/2021,25/07/2021,26/07/2021,27/07/2021,28/07/2021,29/07/2021,30/07/2021,31/07/2021,01/08/2021,02/08/2021,03/08/2021,04/08/2021,05/08/2021,06/08/2021,07/08/2021,08/08/2021,09/08/2021,10/08/2021,11/08/2021,12/08/2021,13/08/2021,14/08/2021,15/08/2021,16/08/2021,17/08/2021,18/08/2021,19/08/2021,20/08/2021,21/08/2021,22/08/2021,23/08/2021,24/08/2021,25/08/2021,26/08/2021,27/08/2021,28/08/2021,29/08/2021,30/08/2021,31/08/2021,01/09/2021,02/09/2021,03/09/2021,04/09/2021,05/09/2021,06/09/2021,07/09/2021,08/09/2021,09/09/2021,10/09/2021,11/09/2021,12/09/2021,13/09/2021,14/09/2021,15/09/2021,16/09/2021,17/09/2021,18/09/2021,19/09/2021,20/09/2021,21/09/2021,22/09/2021,23/09/2021,24/09/2021,25/09/2021,26/09/2021,27/09/2021,28/09/2021,29/09/2021
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,92,145,145,145,145,145,145,145,145,145,146,313,410,410,410,410,410,410,487,487,487,489,489,489,489,489,489,489,491,491,491,491,491,505,505,505,505,505,505,513,514,946,1127,1127,1127,1127,1145,1145,1145,1329,1476,1866,1906,1906,1976,1978,1979,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1981,1982,2060,2278,2279,2742,2743,2743,2743,2743,2743,2743,2743,2839,2844,2848,2914,2987,2987,2987,3064,3100,3132,3165,3185,3246,3300,3341,3513,3630,3681,3729,3754,3754,3787,3906,4115,4160,4160,4160,4160,4160,4231,4315,4396,4502,4554,4588,4653,5192,5663,6294,6696,6905,6913,7605,8460,9677,10400,10911,11580,12180,12945,14054,14908,15454,15933,16307,16513,16543,16579,16676,17144,17729,17940,17940,18042,18151,18309,18458,18861,19048,19048,19048,19053,19055,19063,19063,19063,19063,19067,19070,19072,19075,19076,19078,19078,19079,19080,19080,19084,19087,19087,19087,19087,19092,19035,19035,19036,19037,19037,19043,19049,19050,19054,19062,19062,19062,19065,19188,19355,19669,19675,19675,19675,19501,19697,19757,19806,19890,19890,19890,19909,20145,20217
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,141,141,141,141,141,141,141,141,141,141,141,142,262,262,262,262,262,263,324,326,326,326,326,326,326,326,404,475,475,475,475,475,475,475,475,475,475,475,475,475,475,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,712,712,712,713,862,1048,1048,1201,1201,1201,1201,1201,1353,1353,1353,1355,1355,1355,1355,1355,1568,1570,1570,1570,1570,1570,1571,1687,1748,1748,1748,1896,1896,1976,1976,2056,2056,2056,2206,2206,2256,2256,2256,2256,2256,2356,2486,2486,2486,2486,2486,2486,2486,2586,2586,2727,2727,2727,2927,2927,3041,3108,3180,3311,3494,3894,4310,4710,5020,5169,5369,5569,5915,6047,6161,6283,6424,6538,6634,6715,6777,6850,6908,6958,7037,7037,7037,7037,7037,7037,7098,7098,7098,7098,7148,7148,7148,7148,7157,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7176,7171,7171,7171,7171,7171,7171,7219,7274,7284,7312,7312,7312,7440,7523,7592,7682,7790,7790,7790,7817,7912,7883,7913,7922,7922,7922,7993,8063,8087
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,0,0,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,667,667,667,667,667,667,668,2945,2945,2945,2945,2949,2967,3127,6629,6629,6629,6631,6631,6631,6632,9117,9117,9117,9119,9601,9937,9937,11454,11454,11454,15049,17779,17779,17779,17779,17856,17856,19597,21758,21784,22607,22648,23810,23811,26141,26156,26156,28022,28040,28040,28042,30924,33594,38909,39091,39093,39422,39422,39427,42463,45713,48937,52339,55352,55352,57605,61415,64823,67701,68200,68340,68420,68843,71121,72254,76177,78932,80123,83419,84965,85950,87979,89385,90585,90786,90960,92626,94163,94984,95640,97113,98017,98059,98155,98528,99072,99887,100592,100605,104111,104111,104111,104207,104806,106484,107293,107293,109491,109954,110797,112811,115170,115635,115901,118202,120376,122445,124479,126527,127604,129045,132726,136204,138965,141534,143890,144988,145255,147564,149805,151587,153407,155114,156136,156395,158370,160204,161965,163574,165713,167424,168651,172398,177028,181985,188553,197253,208799,219792,233289,253539,273394,302114,309292,325019,333508,344725,359359,370221,377202,383149,389508,393875,397745,401265,404894,409154,411234,412288,413156,415598,419184,422170,425114,427838,429918,431994,431994,431994,431995,432003,432003,432003,432004,432004,432004,432005,432005,432006,432006,432006,432006,432009,432015,432018,432019,432019,432021,432021,432021,420472,420473,420476,420476,420476,420477,420754,420988,421144,421365,421369,421369,422909,424634,426756,428746,420172,420216,420237,418280,419620,416196,415119,416434,416473,416489,417963,419388,420531
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58,102,102,102,102,102,102,102,102,102,102,156,156,156,156,156,156,156,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,346,346,346,346,346,346,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,363,363,363,363,363,363,363,363,363,363,363,363,465,465,465,465,465,465,465,507,507,507,507,507,507,555,555,555,555,555,555,555,555,555,655,655,655,655,655,655,775,775,775,775,775,775,775,1328,1328,1328,1328,1328,1328,1328,1328,1471,1471,1471,1471,1471,1471,1471,1616,1616,1616,1616,1616,1616,1616,1616,1654,1654,1654,1654,1654,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1729,1729,1729,1729,1729,1729,1729,1726,1726,1707,1705,1705,1705,1705,1705,1705,1707
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,21,21,21,36,36,36,36,36,36,36,36,36,36,37,157,157,157,157,157,157,157,157,157,157,157,157,157,235,313,403,403,403,403,403,403,403,403,403,403,451,451,451,452,498,502,807,807,807,807,807,807,807,807,807,807,807,807,807,807,811,811,811,812,980,980,980,980,1166,1166,1166,1166,1166,1166,1167,1461,1508,1508,1508,1628,1682,1682,1682,1682,1683,1686,1686,1686,1686,1686,1686,1800,1899,2021,2155,2226,2322,2322,2343,2491,2579,2663,2761,2808,2827,2846,2892,2932,2962,2982,3012,3022,3022,3089,3133,3159,3176,3196,3222,3273,3350,3500,3624,3705,3805,3860,4034,4378,4966,5518,6038,6295,6627,6844,7322,7485,7617,7617,7724,7904,8010,8113,8201,8300,8382,8393,8397,8464,8567,8648,8727,8827,8909,8909,8909,8909,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8931,8944,8959,8968,8998,8998,8998,9015,9067,9305,9312,9318,9318,9319,9353,9510,9648,9621,9634,9634,9634,9634,9644,9653
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,70,70,70,70,70,70,70,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,121,121,121,121,121,121,121,121,121,121,121,121,121,140,140,140,140,140,187,187,187,187,187,187,187,265,265,265,313,313,355,355,355,355,355,355,355,355,355,355,355,355,355,355,435,435,435,435,435,483,483,483,483,483,483,483,554,554,554,554,554,554,554,554,554,554,693,693,693,693,693,693,861,861,861,861,861,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687,1758,1758,1758,1758,1758,1758,1758,1899,1899,1899,1899,1899,1930,1930,1930,1930,1930,1930,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,2015,2015,2015,2019,2019,2019,2019,2017,2017,2007,2007,2007,2007,2007,2007,2007,2007
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,20,367,367,367,367,367,367,367,608,608,608,608,608,608,608,609,844,1190,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,2126,3084,4115,4115,4115,4115,4115,4115,4307,4523,5231,5231,5560,5560,5560,5560,5683,5683,5683,5683,5684,5684,5894,6188,6189,6561,6561,6561,6669,6674,6999,6999,6999,7402,7402,7402,7402,7403,7828,7828,7828,7925,8094,8141,8280,8403,8741,8741,8990,9134,9419,9564,9772,9922,10202,10262,10441,10555,10805,11034,11034,11034,11101,11220,11451,11531,11621,11621,11621,11621,11806,11918,11978,12223,12298,12298,12710,13080,13421,13756,14165,14568,14922,16058,17402,18619,19536,20346,20741,21139,21770,22728,23327,23694,24302,24504,24963,25223,25482,26001,26363,26764,27038,27038,27038,27050,27072,27219,27393,27513,27513,27513,27609,27725,27725,27725,27745,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,27762,26896,26898,26898,26899,26899,26914,26958,27065,27174,27404,27404,27404,27807,28139,28406,28720,29043,29043,29043,29223,29325,29285,29253,29263,29263,29263,29364,29445,29520
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,49,49,49,49,49,49,49,49,49,49,49,49,49,169,169,169,169,169,169,169,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,595,886,1075,1075,1075,1075,1075,1075,1185,1215,1505,1505,1505,1505,1505,1535,1557,1557,1557,1677,1678,1678,1678,1678,1888,1888,1888,1888,1888,1888,1888,1978,2431,2431,2431,2702,2702,2702,2702,2702,2702,2704,2672,2672,2672,2684,2684,2684,2692,2863,2957,3068,3068,3142,3171,3171,3208,3364,3402,3402,3402,3412,3412,3412,3587,3647,3647,3647,3647,3648,3648,3855,3947,3947,3957,3957,4173,4373,4535,4573,4573,4488,4488,4921,5345,6001,6247,6720,6720,6720,6720,7241,7459,7472,7570,7806,7806,7849,8224,8336,8536,8599,8599,8599,8805,8839,8926,8926,8926,8926,8926,8926,8927,8928,8928,8928,8928,8930,8930,8957,8958,8975,8984,8984,8984,8990,8990,8990,8990,8990,8990,8990,8990,8810,8841,8841,8841,8841,8841,8846,8846,8879,8879,8879,8879,9017,9156,9156,9238,9296,9296,9296,9272,9276,9228,9224,9220,9220,9220,9220,9220,9405
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,92,101,101,101,101,101,101,105,105,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,156,216,216,216,258,258,258,258,258,258,258,258,258,258,258,258,258,258,306,409,464,523,573,573,573,592,592,656,656,656,656,656,656,656,734,734,734,734,734,734,734,734,734,734,734,734,734,734,866,866,866,866,866,866,916,1263,1267,1283,1283,1643,1643,1643,1643,1643,1647,1647,1647,1647,1651,1732,1732,1744,1745,1745,1745,1745,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823,1829,1829,1829,1837,1837,1837,1837,1837,1837,1837,1838,1838,1838,1838,1838,1838,1838,1844,1844,1844,1844,1844,1844,1844,1860,1860,1860,1860,1860,1943,1943,1907,1907,1907,1897,1897,1897,1973,1973,1973,1973,1973,1973,1973
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,88,88,576,576,576,576,576,576,576,576,576,576,793,793,793,793,793,793,793,1007,1007,1007,1008,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1031,1031,1031,1031,1031,1031,1037,1999,2283,2787,2787,2787,2787,3040,3403,3403,3403,4072,4072,4231,4231,4420,4450,4468,4480,4480,4480,4643,4673,4673,4673,4775,4943,4943,4943,4943,4943,5111,5291,5513,5513,5513,5663,5687,5789,5854,5956,5956,5969,5979,5951,6097,6169,6169,6169,6202,6313,6409,6585,6683,6719,6965,7047,7201,7302,7448,7558,7651,7710,7810,7870,7957,8030,8102,8102,8102,8249,8329,8461,8573,8713,8817,8929,9296,9592,9941,10248,10753,11988,12156,12983,14117,15078,15956,16818,17564,18227,18687,19107,19379,19545,19792,19946,20007,20224,20407,20579,20750,20982,21118,21455,21625,21734,21809,21889,21946,22018,22124,22124,22180,22258,22310,22345,22382,22406,22444,22459,22463,22466,22474,22474,22474,22475,22475,22475,22475,22475,22475,22475,22475,22475,21861,21861,21861,21861,21861,21862,21865,21880,21885,21892,21901,21918,22320,22866,22916,22956,23080,23080,23080,22748,22792,22723,22717,22725,22725,22725,23033,23168,23189
