inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,6%,6%,6%,6.29%,6.92%,7.3%,7.3%,7.3%,4.04%,4.06%,4.57%,4.73%,4.91%,5.55%,5.8%,5.8%,5.92%,6.18%,6.36%,6.56%,6.76%,6.95%,6.96%,7.04%,7.12%,7.19%,7.4%,7.94%
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,13.31%,13.63%,14.46%,15.46%,16.43%,17.01%,17.69%,17.69%,9.23%,9.74%,10.19%,10.62%,10.92%,11.33%,11.33%,11.49%,11.83%,12.04%,12.28%,12.38%,12.68%,12.68%,12.79%,12.86%,12.95%,13.34%,13.51%,13.69%
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,19.17%,19.22%,19.97%,21.17%,22.46%,22.9%,24.12%,24.35%,12.75%,13.33%,13.89%,14.44%,14.84%,15.27%,15.66%,16.11%,16.84%,17.63%,18.51%,19.28%,19.96%,20.13%,20.26%,20.45%,20.66%,20.85%,21.08%,21.54%
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,35.2%,35.2%,35.78%,37.66%,38.18%,38.24%,38.24%,38.24%,19.44%,19.44%,19.77%,19.99%,19.99%,20.93%,21.55%,21.55%,21.87%,22.19%,25.82%,28.7%,28.7%,29.67%,29.67%,29.67%,29.67%,30.05%,30.05%,30.15%
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,16.94%,17.34%,18.21%,19.39%,20.68%,22.54%,22.54%,22.54%,12.43%,13.23%,13.98%,14.64%,15.18%,15.54%,15.54%,15.59%,15.95%,16.37%,16.72%,17.01%,17.3%,17.3%,17.32%,17.52%,17.84%,17.98%,18.18%,18.18%
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,26.17%,26.17%,26.17%,26.17%,26.17%,26.17%,26.17%,26.17%,13.09%,13.09%,13.58%,14.25%,14.8%,15.31%,15.57%,15.78%,16.07%,16.22%,17.52%,17.83%,18.11%,18.55%,18.55%,18.84%,19.15%,19.31%,19.46%,19.77%
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,15.03%,15.06%,15.51%,16.45%,17.79%,18.5%,19.24%,19.66%,9.84%,10.31%,10.86%,11.31%,11.64%,12%,12.1%,12.1%,12.39%,12.69%,12.89%,13.07%,13.31%,13.34%,13.34%,13.54%,13.82%,14.03%,14.36%,14.71%
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,17.75%,17.75%,17.75%,17.75%,18.12%,19.29%,19.29%,19.29%,9.77%,9.77%,9.77%,10.19%,10.19%,10.47%,10.47%,10.47%,10.47%,10.51%,10.73%,11.56%,11.82%,11.82%,12.19%,12.19%,12.22%,12.23%,13.02%,13.02%
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,20.25%,20.4%,20.4%,20.4%,20.4%,21.12%,21.12%,21.12%,11.09%,12.21%,12.31%,12.48%,12.48%,12.62%,12.62%,12.67%,12.89%,12.91%,13.35%,13.88%,14.37%,14.37%,14.39%,14.83%,14.83%,15.16%,15.89%,16.55%
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,19.5%,19.66%,20.32%,21.16%,22.09%,23.29%,23.29%,23.7%,12.78%,13.51%,14.11%,14.56%,15.04%,15.34%,15.47%,15.88%,16.49%,17.51%,17.99%,18.57%,18.89%,19.06%,19.32%,19.68%,19.99%,20.3%,20.65%,21.41%
01,Azuay,881394,0106,Pucará,10584,-3.233780000000000,-79.46120000000001,13.11%,13.11%,13.11%,13.11%,13.25%,13.49%,13.49%,13.49%,7.45%,7.45%,7.94%,9.23%,9.74%,10.06%,10.25%,10.88%,11.05%,11.32%,11.4%,11.84%,11.87%,11.87%,11.98%,12.07%,12.15%,12.46%,12.63%,12.63%
01,Azuay,881394,0107,San Fernando,4156,-3.144500000000000,-79.25200000000000,21.9%,21.9%,21.9%,21.9%,21.9%,22.14%,22.14%,22.14%,11.31%,12.32%,12.32%,15.16%,16.1%,16.51%,16.58%,16.58%,16.89%,17.18%,17.66%,17.97%,17.97%,17.97%,18.05%,18.24%,18.41%,18.53%,18.96%,18.96%
01,Azuay,881394,0108,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,19.9%,20.64%,21.06%,22.17%,23.08%,25.59%,25.59%,25.59%,14.58%,15.38%,15.65%,16.36%,16.84%,17.49%,17.65%,18.02%,18.5%,19.33%,19.85%,20.11%,20.31%,20.44%,20.56%,20.89%,21.09%,21.24%,21.44%,21.44%
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,15.62%,15.62%,15.67%,15.91%,16.23%,16.26%,16.26%,16.26%,8.13%,8.13%,8.13%,8.13%,9.8%,10.91%,10.91%,10.99%,10.99%,11.02%,12.08%,12.22%,12.29%,12.37%,12.41%,12.44%,12.57%,12.6%,14.11%,14.25%
01,Azuay,881394,0109,Sígsig,30509,-3.089700000000000,-78.80320000000000,15.5%,15.58%,16.03%,16.45%,16.95%,17.42%,17.42%,17.42%,9.7%,10.12%,10.46%,10.81%,11.3%,11.61%,11.79%,12.04%,12.34%,12.67%,12.84%,12.97%,13.1%,13.18%,13.32%,13.54%,13.74%,13.85%,14.01%,14.14%
