inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
01,Azuay,881394,-2.897414000000000,-79.00448100000000,675785,675925,676824,678236,679829,680903,681959,682239
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,147779,147784,148236,148755,149399,150099,150690,150827
04,Carchi,186869,0.8121800000000000,-77.71633000000000,156702,156708,156933,157120,157354,157569,157815,157838
03,Cañar,281396,-2.733333000000000,-78.83333300000000,177653,177663,178000,178478,178733,179158,179627,179772
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,356817,357019,357966,359109,359967,360866,361628,361812
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,367740,367779,368430,369418,371128,372722,374367,374525
07,El Oro,715751,-3.266667000000000,-79.96666700000000,553869,553898,554893,556113,557484,558720,560088,560654
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,394762,394774,395262,396011,396783,397959,399080,399652
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,28529,28529,28532,28543,28554,28594,28621,28621
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,2937232,2937462,2945086,2953843,2962549,2971003,2978856,2981694
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,382115,382134,382791,383504,384249,385118,386021,386285
11,Loja,521154,-3.983333000000000,-79.20000000000000,404094,404116,404728,405333,406071,406809,407523,407707
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,559454,559463,561291,563470,566476,569520,571876,572585
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,1188482,1188654,1190749,1193776,1197615,1201789,1205453,1206339
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,101473,101503,101791,102142,102334,102787,102817,102817
15,Napo,133705,-0.9890000000000000,-77.81590000000000,96575,96593,96746,97030,97329,97551,97698,97843
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,110911,110911,111131,111384,111639,111892,112235,112310
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,69143,69172,69333,69513,69686,69857,69994,70100
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,2708745,2709060,2712770,2716845,2720883,2725320,2729875,2731417
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,248800,248824,249675,251228,252271,253687,255008,255277
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,336216,336373,337525,338875,340218,341635,343082,343557
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,146660,146839,147183,147518,147919,148271,148651,148979
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,463896,463918,464502,465347,466081,466934,467655,467866
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,77379,77400,77575,77885,78142,78361,78623,78751
