inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
01,Azuay,881394,-2.897414000000000,-79.00448100000000,79942,80279,83108,87721,92789,95249,99352,100269,105372,110095,114678,119362,122896,126677,129477,132774,138108,144091,150565,156309,161135,162502,163557,165233,167035,168662,170932,174577
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,18449,18451,18754,19117,19525,20199,20898,21075,21328,21943,22695,23381,23991,24522,24725,24851,25454,26172,26900,27415,27983,28166,28260,28763,29133,29556,29935,30348
04,Carchi,186869,0.8121800000000000,-77.71633000000000,14978,15009,15565,16270,16991,17772,18455,18604,18665,20042,21665,22763,23583,24505,24583,24669,25447,26162,26815,27319,27830,27879,27911,28500,29029,29572,30021,30561
03,Cañar,281396,-2.733333000000000,-78.83333300000000,20883,20920,21798,22841,23775,24882,25973,26220,27047,28220,29557,30804,31887,33390,33781,34138,35113,36159,37399,38331,39807,40298,40771,42050,43579,45081,46198,47493
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,40758,40926,42548,44430,46304,48054,50000,50736,51386,53714,56483,59044,62287,64793,65753,66829,69718,71775,73041,74368,76082,76826,77515,78757,80101,81082,81993,83259
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,35602,35666,37186,39073,40970,42830,44859,45573,46231,48721,51012,53380,55865,58381,59133,59560,63123,67766,72320,74796,79374,81827,82184,83306,84979,86213,87759,89438
07,El Oro,715751,-3.266667000000000,-79.96666700000000,44617,44686,47101,50340,54047,57749,62027,63378,64553,68159,71950,74634,76974,79295,80610,81517,83606,85572,87614,90110,93074,94485,95218,97416,99754,101651,103919,106834
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,22745,22765,23558,24833,26260,27804,29580,30659,31876,34113,36531,38279,39611,40905,41794,42176,43946,46137,47699,49038,50087,50601,50936,51968,53001,53920,55093,56165
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,11823,11823,11945,12076,12291,12473,12646,12656,12656,12791,13066,13365,13613,13921,13921,13921,13989,14049,14129,14215,14351,14488,14488,14527,14587,14646,14666,14723
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,203416,203718,212531,223328,235641,247099,258711,263082,265389,276291,288177,299338,309026,319973,323323,325445,335379,347378,358602,369992,381493,385823,387509,397276,406987,415708,424435,433622
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,35444,35503,37080,38457,39761,41722,44167,45148,45647,48638,51751,54234,57298,60129,61023,61668,64962,68061,70103,71702,73562,74599,74853,76396,78098,79552,81013,82363
11,Loja,521154,-3.983333000000000,-79.20000000000000,51081,51126,53029,55189,57350,59801,61778,62554,63259,65830,68734,71416,73688,76574,77763,78643,81142,83428,85306,87156,88447,89365,90495,91763,93327,94617,95920,97022
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,31207,31227,32109,33516,35368,37192,38897,39510,40010,41809,43596,45390,46910,48501,49035,49303,50966,52740,54470,56135,57851,58686,59030,60558,62094,63537,65178,67197
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,67750,67983,70876,75599,81673,87198,91928,93738,94879,102188,109568,115743,120987,127666,129856,131403,135561,139468,142379,145335,150740,154440,155396,159085,162518,166097,169472,172836
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,9398,9407,9599,9869,10125,10555,10572,10572,11390,12061,12622,13336,13874,14478,14527,14619,15189,15565,16042,16389,16634,16768,16894,17198,17470,17676,17906,17967
15,Napo,133705,-0.9890000000000000,-77.81590000000000,6195,6206,6356,6644,6913,7105,7339,7429,7478,7708,7785,8234,8452,8811,8910,8994,9235,9313,9687,9997,10156,10207,10244,10275,10682,11180,11534,11977
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,6266,6267,6377,6559,6873,6998,7199,7311,7213,7573,7931,8298,8333,8748,9130,9391,10074,10142,10887,11381,11978,12169,12403,12720,13032,13361,13892,14314
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,6394,6424,6617,6929,7351,7722,8061,8255,8414,8914,9357,9751,10232,10700,10856,10960,11249,11613,11884,12146,12533,12626,12711,12901,13123,13285,13497,13771
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,325775,327587,342582,361816,380681,400931,423011,434933,442612,462704,485286,511512,534930,562692,578568,585543,602707,621324,635923,650281,667724,681956,690212,701766,712637,723998,735488,750910
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,18018,18028,18585,19345,20258,21442,22506,22699,22921,23962,24652,25486,26100,26734,26905,27005,27837,28597,29113,29746,30267,30558,30660,31561,32459,33356,34701,35751
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,18502,18582,19281,20120,21096,22213,23324,23820,24232,25754,27133,28514,29812,30758,31001,31170,32300,33486,34462,35472,36444,36619,36723,37618,39050,40000,40793,41923
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,8620,8702,8965,9250,9593,9894,10343,10921,11421,12342,13192,14015,14702,15221,15796,16141,16684,17160,17709,18230,18892,19503,20060,20639,21267,21845,22464,23109
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,44540,44760,47248,50467,53751,57144,61362,62301,63158,65610,67480,72290,76927,80606,81598,82119,86586,90717,93464,95533,98776,99920,100533,101941,103703,105180,106642,108307
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,6441,6493,6644,7038,7426,8030,8681,8850,9066,9489,9978,10514,11104,11576,11874,12181,12444,12867,13250,13474,13725,13830,13962,14173,14408,14640,15082,15561
