provincia,poblacion,lat,lng,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021,07/07/2021,08/07/2021,09/07/2021,10/07/2021,11/07/2021,12/07/2021,13/07/2021,14/07/2021,15/07/2021,16/07/2021,17/07/2021,18/07/2021,19/07/2021,20/07/2021,21/07/2021,22/07/2021,23/07/2021,24/07/2021,25/07/2021,26/07/2021,27/07/2021,28/07/2021,29/07/2021,30/07/2021,31/07/2021,01/08/2021,02/08/2021,03/08/2021,04/08/2021,05/08/2021,06/08/2021,07/08/2021,08/08/2021,09/08/2021,10/08/2021,11/08/2021,12/08/2021,13/08/2021,14/08/2021,15/08/2021,16/08/2021,17/08/2021,18/08/2021,19/08/2021,20/08/2021,21/08/2021,22/08/2021,23/08/2021,24/08/2021,25/08/2021,26/08/2021,27/08/2021,28/08/2021,29/08/2021
Azuay,881394,-2.897414000000000,-79.00448100000000,0,0,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,1003,1003,1003,1003,1003,1003,1004,3592,3592,3592,3592,3597,3615,3775,7278,7278,7278,7281,7281,7281,7282,9779,9779,9779,9782,10716,11052,11137,15004,15041,15041,18643,21431,21431,21509,21520,23507,23510,26526,29234,29260,30083,31202,32364,32367,35842,36465,36465,38373,39648,39648,39650,44498,48585,54992,55363,55367,55726,55726,55762,61484,65229,68981,72801,76407,76407,79859,86030,92864,98635,101278,101419,101499,103715,107146,110294,115449,120240,122863,126762,128592,130451,134705,136809,138388,138805,138980,141510,144159,147600,150691,154479,158314,158400,160053,162550,164881,170726,176243,178066,184587,184613,184817,188289,192487,197643,198883,199339,204066,206951,209510,213720,219769,222667,222977,227019,231280,234955,239910,244706,246910,250764,255333,262532,270599,277947,285510,287663,289037,294127,297195,300480,303829,306457,308037,308422,311810,315076,318634,322945,328832,331350,333308,341589,351025,361875,374094,387355,402093,414387,435266,465476,497394,535818,549612,569907,582286,596756,615570,630984,640387,648505,656949,664316,672498,682739,695625,707830,717133,720992,852696,857618,864086,870445,878870,892791,907271,922376,923890,953939,980485,992685,998510,1006576,1013018,1041969,1071741,1095584,1110546,1121961,1130919,1137448,1143558,1150642,1157780,1164864,1171643,1175348,1179402
Bolívar,209933,-1.605556000000000,-79.00305600000000,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,555,555,555,555,555,555,555,555,555,555,555,555,555,555,1836,1837,1837,1837,1837,1837,1837,1837,3005,3051,3051,3745,3745,3745,3745,3745,3745,3747,5078,5078,5078,5078,5758,5758,5759,6767,6773,6786,9125,9299,9299,9299,9779,10543,10544,10545,10545,10574,10575,11282,11815,11815,11825,11851,11857,11861,12977,14153,14862,14862,16609,17828,17829,17899,18453,19509,20401,21262,22609,23359,24005,24747,25854,27043,28188,28319,28391,29093,29883,30755,30960,31544,31945,31969,32792,33460,34094,35152,36236,38103,39452,39807,39935,41488,41881,42739,43650,43867,45431,46691,48056,49384,50945,51816,52214,52837,53345,54045,55851,57077,57434,57771,58196,58886,60268,63362,65765,66779,67091,68080,69122,70434,73119,74426,75103,75435,76143,76671,77385,78603,79801,80194,80650,82183,84159,86629,91223,96589,99140,102544,106491,112159,117716,122041,126070,128856,131242,134355,136938,139253,141136,143184,144193,144968,147121,149078,151208,153594,155714,156871,132319,134848,137843,140980,145954,150813,152807,154733,154733,159612,162366,163953,165055,165589,166056,167635,168994,174746,179598,182558,183479,183993,185563,187012,187967,191061,194221,194993,195360
Carchi,186869,0.8121800000000000,-77.71633000000000,0,0,0,0,0,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,453,453,453,453,453,453,453,904,904,904,904,904,904,904,1396,1396,1396,1396,1396,1396,1396,1552,3489,3563,3565,3565,3565,3565,3758,4071,5316,5316,5316,6024,6024,6164,7438,7438,7438,7438,7438,7438,7438,8765,9411,9413,9746,9746,9746,9746,10053,10492,10492,10492,11759,11759,11759,12484,12484,12484,13076,13692,15164,16995,18567,18567,18567,21487,25247,26847,27391,29390,30090,30367,30922,31296,31670,32185,33256,33256,33256,33768,34188,34283,34345,34987,34987,34987,35708,36141,37136,38496,39507,39630,40812,41670,41670,44391,45269,46211,46211,46211,47024,47707,48093,48953,49888,50192,50632,51009,51346,51403,51630,52832,52932,52961,53751,54513,55301,56442,57575,57937,58002,58978,59677,60592,61494,62482,62844,62904,63894,64951,66147,67582,69602,71325,71405,73391,76499,79943,83059,87663,90049,91812,96764,102648,109882,116557,123695,127623,129857,134455,138753,142829,146444,150920,153022,154085,157199,159945,163311,166629,171132,175433,195238,197295,200388,203158,206207,210577,213389,215423,215423,220291,225086,229358,231209,231601,231601,237735,242500,246293,249878,252853,254783,255837,258090,260482,263045,265547,269257,271869,272833
Cañar,281396,-2.733333000000000,-78.83333300000000,0,0,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,197,197,197,197,197,197,197,509,509,509,509,509,509,509,967,967,967,967,967,968,968,1508,1508,1508,1509,1634,1834,2251,3170,3170,3170,4358,4911,4964,4964,4964,5194,5266,6488,7272,7272,7273,7548,7548,7590,8744,8861,8912,8912,9236,9236,9236,9842,9842,10485,10723,10772,10772,10772,10835,12932,12933,12933,12933,12934,12940,14561,16230,16881,17351,18115,18115,18118,18689,19330,20086,22510,24031,24579,26106,26638,26686,27259,27640,27780,27822,27846,27977,28506,29068,29403,29966,30395,31103,31655,31713,32012,32808,33701,35662,36964,36967,37279,39230,40763,41377,41377,41674,42758,43303,44474,45518,46422,47181,48312,48813,49347,50057,50768,51736,53865,55470,55981,57262,59809,62144,63073,63250,63322,64127,64566,65131,65713,66116,66306,66316,67149,68386,69145,70510,71838,73150,73353,75167,78258,81522,85051,89247,91168,93367,97875,102377,108628,118545,126711,130399,133825,137924,142511,145995,148182,151715,153496,154440,156092,158204,162072,164461,167495,168776,182879,184369,186877,188370,191115,195655,197629,200303,200303,208301,212829,216640,219875,221704,222422,226988,230288,235756,239568,243503,245056,246792,248335,250590,252994,254317,256403,257838,259284
Chimborazo,524004,-1.674347000000000,-78.64829400000001,0,1,1,1,1,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,280,285,285,285,285,285,285,1634,1634,1634,1634,1634,1634,1634,1636,1636,1636,1636,1636,1637,1639,1639,1639,1639,1639,1639,1639,1639,1682,5469,7006,7006,7140,7141,7845,7845,7845,7846,7853,9022,10348,11742,14067,15655,15656,15656,16240,16240,16240,17152,18555,19311,19314,20790,22423,24511,25554,27208,27208,27208,27209,29734,33772,35467,37428,38153,38313,41105,43547,46632,49488,52542,53191,53214,53872,54721,56431,61878,64058,67036,68117,69465,69823,70979,72330,72761,73167,73201,73851,74747,75990,78694,80225,80805,80830,82049,83013,85124,87887,89927,89943,93818,93820,94031,95281,96870,99433,99433,99434,101159,102534,104243,107272,110539,111330,111693,113799,116053,119171,122461,126116,126774,129452,131789,134009,136471,138683,141326,141930,142474,144308,146657,149438,152055,153936,155189,155636,157292,158731,161856,164882,168709,172637,174216,179025,184226,190030,195193,201757,205894,208097,215073,221471,229236,239307,250474,255540,261917,270870,279765,289115,296178,304140,306988,309732,316742,326258,336882,349775,364627,372066,434047,442148,450257,458230,465836,474473,477861,480724,480809,489055,495637,501032,505699,505952,506624,517243,521084,530003,538533,547151,549943,552669,559538,567267,574603,581383,590314,594522,598437
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,245,1617,1618,1618,1618,1619,1619,1619,1620,3962,3962,3962,3962,3962,3962,4790,4791,4791,4791,4791,4791,4791,4791,4791,4791,4792,5600,6168,6168,7126,8335,8338,8338,8338,8338,8338,9844,9847,9847,9848,10677,11825,12776,12776,12776,12777,12777,12778,14707,16065,16068,16264,16912,16915,18840,20788,23161,23209,25378,27367,27370,27685,28973,30714,35502,39325,41764,41778,44476,45766,46684,46977,47099,47166,47214,48310,49296,50338,50783,51643,52226,52301,54289,56014,57737,59770,62589,63395,66520,66623,66630,68854,71009,73141,74063,74066,75827,77402,79114,81188,84068,84682,84919,86806,88238,90902,94275,98354,100613,101272,103237,105033,107762,111839,114797,115362,115496,117881,119718,121414,122906,124400,124972,125288,127365,129476,132160,135140,139267,141367,142337,148465,155518,162754,169745,179541,188143,195341,204746,214620,226705,236991,247879,252365,255089,263334,270866,277874,284194,291978,297730,300488,306761,314224,322746,332186,342505,350970,432530,438498,443276,450370,457966,463887,468950,472575,472575,481423,488662,498771,503459,504028,504943,516584,530542,540049,545939,551759,553975,556200,562663,571189,580633,590006,599449,605491,609317
El Oro,715751,-3.266667000000000,-79.96666700000000,0,0,0,0,0,0,0,0,0,0,0,40,468,468,468,468,468,468,468,468,468,468,470,470,470,470,470,470,470,470,470,470,470,470,470,470,536,2007,2007,2007,2007,2007,2007,2072,3982,4590,4590,5167,5167,5219,8269,11477,11477,11477,11477,11477,11477,11477,12165,12166,12170,17722,18862,18862,18862,19855,20081,20083,21632,21632,21632,22471,23544,23544,23546,24049,24049,24854,26465,27868,27868,27868,27868,28544,31753,34129,37286,46754,46757,50262,52995,54962,56326,58581,59398,59400,60147,60794,61929,66552,70158,71623,71640,72772,73803,74872,76256,76820,76955,76995,77533,77935,79545,80859,82194,87265,88017,91559,94131,94542,98419,103634,107112,110001,110002,110004,110180,111676,112221,112609,113103,115219,116155,118295,121891,125020,126794,127576,129604,131680,133832,136130,140580,142927,143915,145966,147501,151599,155562,158830,160620,161756,164537,167526,171124,174299,176700,178798,179774,181792,184840,188978,193193,198173,202208,204434,212801,222276,231932,246308,262951,278231,287126,300778,322401,346534,371082,395385,415396,429416,452528,472132,486477,499340,509610,516137,520838,529859,537491,546114,554926,565077,573763,559827,567340,575682,584447,596585,609418,622588,631345,631345,652640,668555,682632,691508,694208,695777,716447,743586,765303,780781,792203,800477,805431,812409,822089,830890,838905,847012,853687,857326
Esmeraldas,591083,1.050000000000000,-79.20000000000000,0,0,0,0,0,2,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1479,1844,1844,1844,1844,1844,1844,1844,1862,1862,1862,1864,1864,1868,1868,2866,2866,2866,2866,2866,2866,2882,3080,4337,4340,5800,5800,5800,5802,5802,6444,6603,7706,8348,8348,8350,9618,9972,9972,9974,10008,10016,10994,11626,12191,12194,15150,15380,15383,15383,15383,15704,15704,16381,17808,18284,18284,18971,19132,19132,20274,21570,23013,24657,26312,26555,26555,30754,35184,37547,39244,43453,45512,45528,47691,48838,49578,50761,52391,52503,52521,53423,54522,55458,55528,56236,56260,56284,56949,57864,58562,60104,61515,61764,63979,64494,64659,68082,70060,72497,73149,73150,74207,75186,76692,79333,81955,82535,82724,84662,86678,88180,89477,91334,91911,92207,94016,96480,99193,102273,104595,106310,106642,108341,110127,112054,113951,115777,116607,116859,118893,120743,123215,126216,128835,130351,130808,134222,138421,145922,157115,172923,181538,185853,197839,209425,225075,240612,255432,260954,265074,275589,282748,292800,301221,307724,310552,312698,319436,328457,336646,347644,357622,363350,406702,411697,420720,430639,440862,449295,456158,460321,461149,476493,490166,497846,503331,505054,506033,521720,534680,543244,548576,556667,559027,559864,568048,577426,586855,595202,604673,607921,609378
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,0,0,0,0,0,0,0,0,0,0,191,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,592,865,865,865,865,865,865,865,865,865,865,865,865,865,4039,7866,9720,9721,9724,9724,9724,9724,9724,9724,9724,9724,9808,9838,9838,9838,9838,9838,9838,9838,9838,10174,10438,10438,10438,12303,13689,14271,15105,15105,15105,15105,15105,15121,15288,15289,15902,16652,16652,16652,16652,16652,16803,16954,16954,16954,18041,19396,19976,19976,21018,22965,22965,24019,25723,27110,28130,30236,31121,31392,31623,32023,32023,32023,32101,32144,32144,33714,34944,35624,35624,36753,38628,38628,38628,38629,40592,43188,44838,46086,46087,46628,47137,47515,47588,47680,47763,47764,48398,48951,48952,48952,49098,49224,49224,49224,49225,49225,49601,49813,49813,49813,49813,50033,50206,50386,50386,50404,50404,50404,50460,50505,50860,50948,51027,51027,51099,51456,51456,51456,51456,51564,51564,51660,51690,52090,52090,52126,52126,52126,52126,52186,52335,52429,52500,52500,52500,52889,53045,53175,53187,54089,54562,43420,43438,43726,43726,43858,43870,43870,43870,43870,43954,44342,44353,44471,44471,44471,44769,44769,44769,44769,45017,45017,45017,45045,45866,46322,46544,46549,46549,46549
Guayas,4387434,-2.183333000000000,-79.88333299999999,0,1327,1327,1327,1327,1328,1328,1328,1328,1532,1532,1532,1532,1532,2878,2926,2926,2926,2926,2927,2927,2932,3598,3600,3600,3600,3600,3600,3601,8104,9968,9968,11842,12208,12208,12601,19610,19616,19616,19616,19617,19618,19625,29529,31316,31316,31316,33428,34073,34250,43885,49169,49185,49186,49709,49960,51954,57579,59532,59533,60153,67575,68992,74322,78706,82301,82308,82315,87138,91062,96235,104333,105950,109070,110538,120414,127668,137663,138446,138970,138970,138971,140494,148360,152326,161849,168382,175175,176778,183777,193400,202858,211134,225748,230758,234058,243028,254581,263328,270581,278330,284329,292496,301731,311223,323948,338104,348383,351436,352273,358497,367733,376199,386583,402994,409767,410090,422625,431494,443129,460115,478968,490019,498266,498302,501996,514706,524061,535471,539965,541767,554777,570045,586372,606726,627503,634167,635963,649823,662704,675887,693446,713368,720260,722442,735786,752879,772353,793708,813350,824065,827278,844939,865092,885975,910611,931288,941976,945123,963918,979320,998497,1018734,1042266,1060488,1069956,1105341,1147649,1192986,1239697,1288324,1328619,1354622,1410244,1481701,1563273,1651034,1740617,1814908,1880488,1957076,2033638,2102411,2167820,2233643,2284976,2314843,2336073,2412291,2500334,2595310,2692341,2778692,2993352,3064880,3128964,3190292,3247585,3302135,3352232,3382341,3382342,3459919,3530833,3599616,3647692,3670427,3683502,3760578,3852639,3947638,4034354,4112428,4167891,4200460,4241452,4299523,4358691,4421527,4489013,4544841,4552525
