provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,16102,16115,16214,16300,16408,16557,16641,16686,16915,17152,17353,17575,17732,17895,17984,18066,18228,18331,18404,18468,18533,18559,18607,18633,18675,18724,18753,18779
Bolívar,209933,-1.605556000000000,-79.00305600000000,6768,6768,6794,6825,6857,6882,6900,6903,6904,6920,6951,6975,7005,7021,7022,7023,7050,7067,7085,7092,7097,7099,7099,7102,7109,7116,7124,7133
Carchi,186869,0.8121800000000000,-77.71633000000000,7400,7400,7443,7472,7512,7555,7594,7595,7599,7663,7740,7826,7931,8035,8039,8046,8129,8192,8265,8332,8397,8401,8404,8479,8510,8554,8587,8616
Cañar,281396,-2.733333000000000,-78.83333300000000,8493,8494,8522,8551,8596,8611,8664,8681,8726,8765,8817,8862,8883,8943,8959,8977,8998,9031,9060,9081,9099,9104,9111,9131,9150,9166,9174,9184
Chimborazo,524004,-1.674347000000000,-78.64829400000001,14091,14122,14298,14497,14644,14838,14996,15029,15087,15265,15527,15772,16002,16172,16228,16297,16433,16601,16674,16746,16811,16836,16868,16921,16971,17008,17041,17075
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,27394,27404,27531,27666,27803,27931,28018,28032,28061,28219,28369,28502,28644,28797,28819,28819,28927,29009,29061,29132,29241,29247,29249,29344,29372,29391,29418,29456
El Oro,715751,-3.266667000000000,-79.96666700000000,14555,14556,14677,14830,15028,15165,15319,15398,15507,15702,15919,16255,16533,16780,16877,16962,17185,17378,17535,17671,17783,17846,17930,18074,18189,18302,18420,18538
Esmeraldas,591083,1.050000000000000,-79.20000000000000,29912,29915,30033,30192,30358,30523,30668,30681,30757,30997,31345,31628,32006,32440,32574,32649,32897,33227,33482,33669,33860,33908,33972,34157,34267,34381,34504,34631
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,94033,94039,94465,94924,95516,96022,96432,96530,96543,96920,97331,97912,98320,98676,98803,98884,99279,99652,99911,100143,100387,100411,100416,100676,100870,101055,101189,101370
Imbabura,476257,0.3626780000000000,-78.13066700000000,14639,14647,14745,14856,15060,15316,15643,15776,15867,16210,16538,16813,17168,17318,17372,17406,17582,17639,17684,17721,17752,17763,17789,17827,17888,17937,17972,18017
Loja,521154,-3.983333000000000,-79.20000000000000,5140,5146,5201,5272,5343,5401,5472,5473,5480,5560,5679,5860,6043,6190,6235,6293,6396,6560,6644,6751,6813,6835,6856,6931,6989,7050,7089,7136
Los Ríos,921763,-1.800000000000000,-79.53333300000000,26565,26566,26740,26918,27087,27376,27531,27576,27602,27867,28101,28399,28625,28915,28984,29006,29229,29406,29518,29611,29709,29742,29772,29851,29974,30044,30129,30187
Manabí,1562079,-1.056181000000000,-80.45521700000000,50651,50667,50874,51239,51617,52021,52463,52555,52615,53120,53634,54371,54962,55470,55527,55557,55909,56113,56262,56460,56623,56648,56668,56786,56894,56986,57050,57119
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,10672,10675,10722,10842,10908,11039,11048,11048,11381,11584,11776,11920,12051,12156,12176,12262,12368,12425,12454,12513,12537,12549,12552,12605,12656,12680,12704,12707
Napo,133705,-0.9890000000000000,-77.81590000000000,3620,3620,3627,3638,3646,3665,3673,3679,3689,3708,3711,3725,3732,3745,3747,3771,3791,3791,3799,3799,3800,3803,3806,3806,3806,3806,3820,3820
Orellana,161338,-0.4666670000000000,-76.96666700000000,5076,5076,5076,5082,5083,5083,5083,5083,5025,5028,5033,5033,5033,5033,5033,5033,5034,5034,5034,5034,5034,5039,5039,5039,5039,5039,5039,5040
Pastaza,114202,-1.066667000000000,-78.00111099999999,5864,5870,5902,5928,5962,6024,6061,6096,6155,6219,6322,6441,6528,6594,6626,6659,6735,6775,6797,6818,6850,6860,6873,6893,6921,6939,6963,6993
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,57413,57429,57616,57820,58054,58289,58463,58493,58509,58701,58968,59274,59433,59615,59659,59693,59847,59971,60059,60134,60150,60153,60167,60225,60272,60321,60367,60404
Santa Elena,401178,-2.226700000000000,-80.85830000000000,9011,9025,9172,9313,9438,9528,9605,9605,9608,9705,9819,9969,10058,10144,10144,10144,10197,10236,10271,10313,10344,10344,10344,10377,10398,10413,10422,10449
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,29601,29651,29913,30236,30554,30829,31252,31378,31496,31840,32245,32586,32899,33119,33168,33238,33586,33777,33955,34071,34200,34237,34278,34381,34490,34554,34600,34683
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,8517,8527,8537,8567,8591,8616,8642,8677,8689,8726,8756,8778,8826,8878,8899,8925,8947,8969,8991,9016,9044,9069,9100,9119,9145,9178,9214,9231
Tungurahua,590600,-1.241667000000000,-78.61972200000000,28460,28468,28619,28813,29009,29241,29444,29537,29584,29794,30057,30413,30716,30961,31068,31105,31339,31517,31641,31759,31861,31911,31930,32022,32079,32142,32206,32251
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,2784,2791,2814,2828,2841,2845,2851,2864,2870,2913,2955,3011,3067,3127,3148,3172,3210,3235,3250,3261,3302,3313,3338,3346,3358,3371,3386,3393
