provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,48793,48729,48465,47998,47485,47050,46728,46629,42206,41858,41441,41003,40619,40288,40156,40028,39829,39572,39398,39234,39056,38997,38922,38844,38695,38539,38330,38147
Bolívar,209933,-1.605556000000000,-79.00305600000000,30070,30071,29870,29642,29367,29139,28886,28841,28832,28649,28371,27791,27399,27185,27156,27155,27057,26911,26643,26483,26432,26422,26407,26320,26169,25893,25739,25579
Carchi,186869,0.8121800000000000,-77.71633000000000,24899,24906,24849,24814,24755,24666,24578,24564,24601,24469,24336,24246,24126,23994,23989,23990,23927,23896,23867,23806,23775,23767,23760,23688,23640,23575,23527,23496
Cañar,281396,-2.733333000000000,-78.83333300000000,22077,22074,22000,21817,21800,21758,21556,21559,21381,21152,21072,20999,20805,20768,20764,20821,20854,20859,20887,20811,20779,20756,20733,20698,20669,20642,20537,20460
Chimborazo,524004,-1.674347000000000,-78.64829400000001,52586,52481,52037,51509,51127,50735,50474,50411,50300,49842,49186,48639,48115,47598,47241,46768,46234,45976,45826,45723,45460,45327,45084,44725,44525,44352,44106,43897
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,46959,46955,46784,46327,45272,44347,43409,43390,43279,42762,41875,41497,41338,41291,41173,41175,41117,40286,39507,39203,39010,38915,38909,38744,38595,38415,38323,38209
El Oro,715751,-3.266667000000000,-79.96666700000000,62170,62179,61786,61314,60795,60377,59822,59576,59464,58883,58299,57685,57163,56550,56364,56188,55842,55489,55164,54863,54540,54394,54303,53915,53528,53254,53114,52836
Esmeraldas,591083,1.050000000000000,-79.20000000000000,68206,68198,68124,68000,67873,67473,67138,67190,66875,66328,65760,65323,64817,64612,64544,64547,64410,64057,63848,63572,63504,63548,63456,63396,63185,62870,62634,62275
Galápagos,33042,-0.8000000000000000,-89.40000000000001,1294,1294,1292,1281,1274,1259,1288,1288,1295,1302,1279,1279,1273,1269,1269,1269,1273,1279,1272,1284,1287,1287,1287,1282,1269,1272,1271,1254
Guayas,4387434,-2.183333000000000,-79.88333299999999,454804,454831,452946,450535,448910,447479,445875,445209,444940,443360,443108,443368,442676,441429,441205,440931,441023,440440,439944,438488,437047,436763,436517,435726,435037,434295,432774,430804
Imbabura,476257,0.3626780000000000,-78.13066700000000,18604,18605,18441,18225,17996,17731,17431,17398,17379,17232,16763,16394,16182,16062,16100,16118,16121,16009,16007,15977,15916,15900,15870,15834,15592,15341,15096,14917
Loja,521154,-3.983333000000000,-79.20000000000000,30506,30493,30156,29877,29480,29097,28714,28597,28558,28080,27530,26832,26308,25765,25535,25307,25016,24803,24572,24427,24282,24226,24212,24014,23888,23758,23620,23515
Los Ríos,921763,-1.800000000000000,-79.53333300000000,131923,131923,131408,130974,130080,129133,128659,128495,128374,127458,126037,125290,124736,124409,124367,124259,124254,124070,123884,123422,121965,121602,121449,120844,120044,119354,118425,117451
Manabí,1562079,-1.056181000000000,-80.45521700000000,154710,154626,153709,152401,150891,148894,147243,146974,146737,144410,142107,140658,139300,138488,138383,138311,138022,137163,136221,135288,134339,134072,133935,133207,132371,131615,130897,130320
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,18456,18448,18492,18622,18875,19082,19091,19091,19133,19688,20113,20459,20860,21167,21195,21287,21425,21413,21444,21457,21536,21538,21574,21583,21554,21544,21552,21547
Napo,133705,-0.9890000000000000,-77.81590000000000,16209,16202,16138,15983,15810,15722,15681,15598,15552,15408,15401,15271,15225,14969,14949,14913,14875,14869,14825,14751,14767,14782,14761,14755,14695,14666,14634,14634
Orellana,161338,-0.4666670000000000,-76.96666700000000,22354,22354,22298,22240,22153,22148,22102,22089,22677,22590,22509,22384,22381,22392,22323,22305,22274,22272,22243,22207,22027,22006,22003,22033,22011,21981,21918,21841
Pastaza,114202,-1.066667000000000,-78.00111099999999,10137,10125,10098,10058,10071,10109,10144,10127,10136,10192,10261,10297,10390,10458,10465,10478,10572,10512,10508,10473,10438,10440,10417,10411,10412,10407,10405,10413
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,118849,118742,117061,115267,113556,111533,109171,108478,112810,110579,108156,105783,104071,101863,101241,100948,99759,98879,98215,97391,97092,96932,96710,96039,95441,94699,93895,93344
Santa Elena,401178,-2.226700000000000,-80.85830000000000,60471,60467,60063,59050,58588,57919,57267,57094,56965,56512,56127,55900,55630,55339,54959,54623,54385,54022,54059,53782,53445,53209,53178,52878,52498,52206,51943,51655
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,58922,58893,58483,57929,57391,56929,56382,56186,56043,55475,54703,54102,53443,52909,52852,52763,52432,52069,51718,51304,51034,50951,50911,50653,50366,49869,49529,49109
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,28144,28049,27864,27720,27572,27482,27309,27281,27215,26950,26732,26589,26460,26467,26453,26406,26320,26241,26135,26070,26054,26007,26018,25974,25883,25816,25734,25716
Tungurahua,590600,-1.241667000000000,-78.61972200000000,38583,38584,38373,37992,37758,37417,37191,37138,37177,36919,36574,35729,35427,35179,34335,34087,33292,33019,32634,32510,32139,31857,31758,31352,30931,30665,30454,30258
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,14353,14344,14261,14073,13942,13842,13738,13697,13683,13561,13453,13376,13282,13259,13220,13242,13237,13251,13270,13250,13235,13232,13233,13228,13223,13187,13172,13146
