inec_provincia_id,provincia,poblacion,lat,lng,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021,07/07/2021,08/07/2021,09/07/2021,10/07/2021,11/07/2021,12/07/2021,13/07/2021,14/07/2021,15/07/2021,16/07/2021,17/07/2021,18/07/2021,19/07/2021,20/07/2021,21/07/2021,22/07/2021,23/07/2021,24/07/2021,25/07/2021,26/07/2021,27/07/2021,28/07/2021,29/07/2021,30/07/2021,31/07/2021,01/08/2021,02/08/2021,03/08/2021,04/08/2021,05/08/2021,06/08/2021,07/08/2021,08/08/2021,09/08/2021,10/08/2021,11/08/2021,12/08/2021,13/08/2021,14/08/2021,15/08/2021,16/08/2021,17/08/2021,18/08/2021,19/08/2021,20/08/2021,21/08/2021,22/08/2021,23/08/2021,24/08/2021,25/08/2021,26/08/2021,27/08/2021,28/08/2021,29/08/2021,30/08/2021,31/08/2021,01/09/2021,02/09/2021,03/09/2021,04/09/2021,05/09/2021,06/09/2021,07/09/2021,08/09/2021,09/09/2021,10/09/2021,11/09/2021,12/09/2021,13/09/2021,14/09/2021,15/09/2021,16/09/2021,17/09/2021,18/09/2021,19/09/2021
01,Azuay,881394,-2.897414000000000,-79.00448100000000,0,0,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,668,668,668,668,668,668,669,2946,2946,2946,2946,2951,2969,3129,6632,6632,6632,6635,6635,6635,6636,9131,9131,9131,9134,10068,10404,10489,13211,13216,13216,16811,19599,19599,19599,19606,19683,19686,22701,25409,25435,26258,26299,27461,27464,30933,30950,30950,32819,32859,32859,32861,35932,39141,45546,45790,45792,46121,46121,46126,49191,52441,55665,59067,62128,62128,64401,70052,76886,82655,84397,84538,84618,85319,87965,89606,94760,99494,101955,105854,107400,108695,110758,112336,113717,114134,114309,116462,118367,119547,120683,122259,124571,124613,124709,125191,125742,127811,129081,130006,136008,136009,136207,136874,137729,140567,141480,141523,143932,144663,145514,147958,150937,151821,152121,155282,158436,161740,164857,167719,169312,171740,175989,180826,184514,188077,191570,192901,193337,196000,198969,201579,203907,206118,207242,207560,209971,212354,214810,217085,220203,222186,223763,228868,235639,243185,252383,263072,277061,288824,306881,333498,362706,398302,410753,430308,442172,456481,475118,490387,499707,507387,514988,521133,526008,530591,536447,542702,547021,548861,550965,554003,558408,562100,566055,570010,572638,575042,575042,575311,575555,575639,575678,575744,575805,575849,575874,575963,576030,576071,576082,576085,576101,576111,576121,576147,576161,576163,576173,576174,576183,562364,562404,562430,562444,562445,562479,562901,563344,563671,564270,564287,564305,567274,570848,574189,577344,569342,569397,569424
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1781,1782,1782,1782,1782,1782,1782,1782,2755,2801,2801,3495,3495,3495,3495,3495,3495,3497,4828,4828,4828,4828,4880,4880,4881,5889,5895,5908,7826,7982,7982,7982,8120,8884,8884,8884,8884,8913,8913,8996,9529,9529,9539,9541,9547,9551,10667,11843,12549,12549,13519,14001,14002,14072,14626,15682,16562,17423,18770,19520,20017,20490,21543,22684,23792,23898,23934,24622,25335,26008,26201,26758,27139,27153,27490,27657,27896,28779,29366,30787,32135,32485,32606,32613,32613,33068,33609,33627,33716,33844,33975,34317,34873,35416,35794,36071,36346,36717,37135,37580,37829,38025,38318,38933,40055,41532,43377,44125,44345,45070,46035,47264,48607,49687,50178,50432,50915,51317,51812,52249,52889,53143,53518,54851,56645,59005,62683,67483,69802,73068,76693,81878,86920,90560,93916,96323,98575,101231,103584,105680,107152,108480,109237,109916,111691,113212,114799,116761,118422,119381,119403,119417,119417,119419,119437,119467,119467,119467,119467,119467,119467,119467,119467,119467,119467,119476,119476,119479,119485,119491,119491,119491,119494,119496,119496,119496,119496,119496,119496,119498,119499,117311,117317,117329,117333,117335,117353,117381,117432,117473,117530,117530,117530,117596,117671,117775,118000,127748,127807,127807
04,Carchi,186869,0.8121800000000000,-77.71633000000000,0,0,0,0,0,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,406,406,406,406,406,406,406,856,856,856,856,856,856,856,1348,1348,1348,1348,1348,1348,1348,1360,3293,3367,3369,3369,3369,3369,3383,3655,4899,4899,4899,5607,5607,5617,6773,6773,6773,6773,6773,6773,6773,7103,7749,7749,8071,8071,8071,8071,8071,8071,8071,8071,8981,8981,8981,9139,9139,9139,9731,10347,11819,13650,15212,15212,15212,18128,21888,23482,24026,25877,26267,26543,26931,27295,27668,28183,29245,29245,29245,29755,29804,29845,29905,30488,30488,30488,30987,31185,31453,31908,32150,32256,33433,33593,33593,33593,33593,33820,33820,33820,33929,34157,34298,35046,35603,35698,35701,35797,35896,35896,36033,36445,36544,36573,36865,37403,38013,38726,39660,40021,40086,40779,41445,42344,43245,44210,44571,44631,45484,46438,47369,48348,49922,51560,51632,53332,55938,58822,61660,65902,68147,69857,74555,80234,87262,93824,100543,104328,106548,110990,113991,117781,121257,124417,126431,127469,129905,131983,134254,136773,140131,142970,143896,145083,146318,147619,148904,150478,151495,152407,152407,152408,152451,152451,152451,152451,152451,152452,152452,152452,152455,152455,152455,152455,152456,152456,152456,152456,152457,152457,152457,152459,152459,146969,146969,146969,146969,146969,146970,146970,146970,146970,146970,146970,146970,147194,147714,148359,149142,148146,148166,148166
03,Cañar,281396,-2.733333000000000,-78.83333300000000,0,0,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,443,443,443,443,443,443,443,901,901,901,901,901,902,902,1442,1442,1442,1443,1568,1768,2185,2946,2946,2946,4134,4687,4740,4740,4740,4740,4812,6034,6818,6818,6819,6824,6824,6866,8020,8026,8028,8028,8038,8038,8038,8070,8070,8713,8729,8741,8741,8741,8751,9573,9573,9573,9573,9574,9576,10616,12285,12936,13406,14160,14160,14163,14734,15375,16131,18555,20076,20624,22151,22669,22693,22874,23202,23311,23353,23377,23460,23575,24047,24334,24849,25260,25950,25986,25986,25986,26221,26406,28339,29629,29632,29939,29984,29985,30494,30494,30496,31172,31706,32320,32999,33702,34063,34194,34688,35211,35915,36365,37099,37519,38907,39401,40266,41079,41871,42459,42605,42652,43317,43692,44208,44665,44962,45144,45144,45487,46186,46490,47192,47864,48746,48895,50109,52603,55149,58016,61478,63186,65279,69247,73299,78972,88352,96134,99664,103013,107064,111629,115075,117208,120716,122437,123368,124623,126115,127944,129313,130930,131434,132536,133402,133981,134414,135052,136672,137135,137646,137646,137819,137819,137822,137822,137822,137822,137822,137822,137864,137978,138014,138014,138014,138014,138014,138014,138020,138021,138024,138025,138026,138027,136031,136034,136034,136034,136034,136036,136155,136273,136351,136511,136511,136511,137460,138477,139763,140704,141288,141288,141288
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,0,1,1,1,1,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,280,285,285,285,285,285,285,1499,1499,1499,1499,1499,1499,1499,1501,1501,1501,1501,1501,1501,1503,1503,1503,1503,1503,1503,1503,1503,1546,4741,6273,6273,6407,6408,7111,7111,7111,7111,7118,8286,9612,11006,13331,14919,14920,14920,15504,15504,15504,16410,16466,16469,16472,17939,19510,21031,22074,23728,23728,23728,23729,26254,30291,31980,32982,32984,32992,35369,37669,40754,43558,45261,45398,45421,45995,46837,48547,53989,55371,56633,57230,58571,58902,59916,60753,61166,61556,61587,62214,63005,63189,64028,64643,64725,64732,65264,65268,66133,67299,68595,68609,72480,72482,72610,72617,72633,73730,73730,73731,74670,75397,76462,78032,79770,80077,80309,81887,83326,84929,86220,87653,88163,89366,90595,92057,94123,95652,97513,98044,98565,99974,101823,103603,104832,106127,107336,107707,109057,110164,112832,114851,117775,121138,122509,126234,130167,134795,138970,144339,148288,150381,156594,162440,169451,178846,189082,193885,199869,207892,216089,224753,231097,238201,240839,243389,249438,257526,266074,275986,288045,293562,297720,302555,306878,311036,314719,318490,318916,319295,319377,319676,319733,319821,320088,320088,320141,320181,320182,320207,320269,320324,320324,320324,320325,320375,320624,320774,320971,321291,322190,322285,322542,315568,315568,315772,315875,316150,316235,316372,316418,316552,316580,316586,316598,317974,319593,320556,321413,317354,317406,317442
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,1504,1505,1505,1505,1506,1506,1506,1507,3847,3847,3847,3847,3847,3847,4675,4676,4676,4676,4676,4676,4676,4676,4676,4676,4676,4864,5432,5432,6390,6458,6458,6458,6458,6458,6458,7561,7564,7564,7565,8393,9541,10492,10492,10492,10492,10492,10493,12422,13780,13781,13781,13781,13784,15697,17645,20018,20066,22090,23720,23720,23990,25278,27019,31805,35212,37233,37247,39931,41169,41419,41617,41706,41743,41770,42833,43427,43568,43607,44439,44980,45020,46583,47104,47382,48589,51185,51972,55083,55180,55180,55182,55182,55936,55940,55943,57151,58539,59484,61284,63573,63972,64150,65362,66408,67275,68076,68796,69030,69230,70527,71942,73559,75065,76533,77029,77137,78637,80017,81331,82601,83927,84453,84624,86255,87721,89512,91309,93464,95277,96163,101265,107341,113495,119623,128572,136817,143783,152516,161860,173487,183333,193609,197633,200227,207953,214960,221486,227542,234526,239121,241626,246837,253142,259735,267547,276889,283710,285878,286424,287684,289322,290888,291584,292708,293134,293134,293318,293520,293745,293763,293763,293763,293787,293802,293802,293803,293821,293822,293822,293826,293827,295150,295150,295172,295273,295274,295276,295284,291266,291266,291347,291471,291491,291549,291612,291625,291681,291682,291684,291684,292062,293624,295460,296272,294786,294880,294902
07,El Oro,715751,-3.266667000000000,-79.96666700000000,0,0,0,0,0,0,0,0,0,0,0,40,468,468,468,468,468,468,468,468,468,468,470,470,470,470,470,470,470,470,470,470,470,470,470,470,501,1780,1780,1780,1780,1780,1780,1845,3750,4358,4358,4935,4935,4987,8037,11245,11245,11245,11245,11245,11245,11245,11318,11319,11323,16875,18015,18015,18015,18065,18065,18067,18863,18863,18863,19702,19748,19748,19749,20252,20252,21054,21055,22078,22078,22078,22078,22750,23654,26030,28207,37669,37672,41153,43879,45448,46812,49067,49692,49693,50027,50566,51289,55900,58969,60434,60451,61581,62596,63583,64922,65467,65590,65619,66143,66508,67518,68312,68880,70617,70832,73099,74823,74833,77794,81171,82986,85696,85697,85699,85699,85931,85931,85933,86292,86920,87577,89052,91593,93874,94880,95497,96759,98489,99973,101565,103303,104465,105124,106853,107793,109617,112053,114876,116472,117516,120144,122245,123595,125686,126649,127641,128082,129343,130531,131835,133218,135888,138678,140338,147303,155087,163322,175812,190854,204847,213015,225199,245521,267945,290150,311971,330462,342948,364312,382497,395868,406354,415640,421540,426053,433945,440635,447915,455251,463893,471272,478085,481278,483697,485512,487240,488825,490790,492464,492464,492506,492530,492546,492563,492577,492582,492591,492625,492650,492678,492703,492724,492755,492782,492802,492845,492882,492927,492949,492953,493007,493046,484439,484446,484469,484480,484559,484674,484731,484767,484857,484934,484934,484934,485752,487952,490369,492115,489169,489169,489169
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,0,0,0,0,0,2,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1382,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746,1748,1748,1752,1752,2750,2750,2750,2750,2750,2750,2766,2806,3620,3622,4764,4764,4764,4764,4764,5406,5562,6663,7305,7305,7307,8199,8549,8549,8551,8585,8593,9571,10203,10417,10419,12777,13003,13003,13003,13003,13017,13017,13023,14133,14609,14609,14897,14897,14897,16039,17335,18775,20193,21441,21591,21591,25425,29770,32133,33821,37979,40032,40048,41698,42652,43348,44522,46106,46218,46236,47126,47914,48419,48478,49183,49207,49231,49634,50262,50313,50920,51571,51772,53976,54120,54281,54333,54360,54594,55072,55073,55541,56273,57529,59925,62068,62445,62599,64031,65701,66881,68080,69405,69916,70162,71574,73424,75871,78497,79999,80829,81126,82381,83892,85437,86946,88634,89450,89669,91327,92595,94123,95466,96671,97862,98179,99949,102797,109374,119786,134302,142132,146209,157439,168286,183233,198085,212306,217648,221648,231506,238048,247150,254958,261182,263872,265967,270794,277449,283500,293418,302385,307850,308708,312350,317663,320271,321702,322249,322401,322531,322533,322995,323032,323046,323051,323053,323053,323054,323062,323112,323116,323125,323126,323132,323135,323137,323146,323147,323152,323154,323155,323168,323172,319008,319012,319013,319013,319013,319021,319027,319029,319034,319041,319041,319041,319203,320235,321604,322716,320597,320700,320815
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,0,0,0,0,0,0,0,0,0,0,191,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,503,652,652,652,652,652,652,652,652,652,652,652,652,652,3826,7653,9507,9508,9511,9511,9511,9511,9511,9511,9511,9511,9521,9521,9521,9521,9521,9521,9521,9521,9521,9857,10120,10120,10120,10121,10262,10372,10405,10405,10405,10405,10405,10409,10574,10575,11164,11907,11907,11907,11907,11907,11907,11907,11907,11907,12977,14302,14877,14877,15884,17798,17798,18812,20510,21883,22896,24439,25239,25445,25650,26039,26039,26039,26117,26160,26160,26244,26386,26862,26862,26957,27129,27129,27129,27129,27130,27279,27586,27586,27586,27808,28050,28200,28257,28292,28327,28327,28644,28749,28749,28749,28801,28808,28808,28808,28809,28809,28854,28946,28946,28946,28946,28946,28946,28951,28951,28951,28951,28951,28958,28958,28958,28976,29043,29043,29108,29414,29414,29414,29414,29508,29508,29595,29619,29882,29882,29916,29916,29916,29916,29968,30097,30176,30242,30242,30242,30566,30668,30782,30791,31497,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31916,31941,31233,31233,31233,31233,31233,31276,31280,31280,31297,31297,31297,31297,31305,31305,31305,31323,31502,31502,31502
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,0,1327,1327,1327,1327,1328,1328,1328,1328,1532,1532,1532,1532,1532,2878,2926,2926,2926,2926,2927,2927,2927,2943,2945,2945,2945,2945,2945,2946,7355,9219,9219,11092,11458,11458,11461,18147,18152,18152,18152,18152,18153,18160,28050,29835,29835,29835,31947,32592,32593,40040,44692,44707,44708,45064,45313,47297,49328,50414,50415,51034,58414,59829,65148,66264,67463,67463,67470,71081,74804,79973,84153,85770,88885,90318,97876,104998,114174,114365,114371,114371,114371,114502,121925,125877,130237,136130,142921,144522,150435,158448,165513,172627,187075,191332,194515,201127,209048,214255,221311,228807,234567,242678,251794,260915,273026,285802,294831,297173,298007,303483,310654,314673,320150,331208,333826,333941,342317,345991,350468,360215,368667,376063,382678,382709,385979,386382,386481,389470,391124,391642,397227,403506,409620,419151,429452,433231,434266,442838,451942,460496,468928,478357,481385,482849,490778,502997,518242,533221,548150,557448,560142,574182,589611,605406,621869,637770,646935,648959,662246,673822,687604,700806,715487,728964,736470,763914,797780,835124,873600,913706,951059,975360,1023792,1084999,1154540,1237175,1322425,1394347,1456500,1529821,1603348,1668771,1729380,1789811,1838874,1867265,1884240,1946365,2014465,2094114,2177779,2255428,2295860,2339539,2376624,2408525,2433494,2448681,2465420,2473732,2473732,2473918,2474184,2474334,2474546,2474547,2474549,2474571,2474616,2474631,2474741,2474747,2474755,2474755,2474870,2475034,2475060,2475077,2475106,2475171,2475503,2476373,2477232,2455246,2456646,2457941,2458728,2459210,2460592,2462037,2463364,2464777,2466619,2466745,2466745,2472155,2477190,2482815,2489503,2518909,2519477,2519477
