inec_provincia_id,provincia,poblacion,lat,lng,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021,07/07/2021,08/07/2021,09/07/2021,10/07/2021,11/07/2021,12/07/2021,13/07/2021,14/07/2021,15/07/2021,16/07/2021,17/07/2021,18/07/2021,19/07/2021,20/07/2021,21/07/2021,22/07/2021,23/07/2021,24/07/2021,25/07/2021,26/07/2021,27/07/2021,28/07/2021,29/07/2021,30/07/2021,31/07/2021,01/08/2021,02/08/2021,03/08/2021,04/08/2021,05/08/2021,06/08/2021,07/08/2021,08/08/2021,09/08/2021,10/08/2021,11/08/2021,12/08/2021,13/08/2021,14/08/2021,15/08/2021,16/08/2021,17/08/2021,18/08/2021,19/08/2021,20/08/2021,21/08/2021,22/08/2021,23/08/2021,24/08/2021,25/08/2021,26/08/2021,27/08/2021,28/08/2021,29/08/2021,30/08/2021,31/08/2021,01/09/2021,02/09/2021,03/09/2021,04/09/2021,05/09/2021,06/09/2021,07/09/2021,08/09/2021,09/09/2021,10/09/2021,11/09/2021,12/09/2021,13/09/2021,14/09/2021,15/09/2021,16/09/2021,17/09/2021,18/09/2021,19/09/2021,20/09/2021,21/09/2021,22/09/2021,23/09/2021,24/09/2021,25/09/2021,26/09/2021,27/09/2021,28/09/2021,29/09/2021,30/09/2021,01/10/2021,02/10/2021,03/10/2021,04/10/2021,05/10/2021,06/10/2021,07/10/2021
01,Azuay,881394,-2.897414000000000,-79.00448100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,335,335,335,335,335,335,646,646,646,646,646,646,646,646,646,646,646,646,646,646,648,648,648,648,648,648,648,1793,1825,1825,1832,1832,1832,1910,1914,3824,3824,3825,3825,3825,3825,4903,4903,4903,4909,5515,5515,5554,6789,6789,6789,8566,9444,9446,9573,9575,9605,9605,9636,12293,12788,13316,13734,14279,14279,15458,15978,15978,15980,16881,16881,16881,18396,19181,20688,20689,20746,20908,20908,21192,21756,23947,24473,24671,24671,24671,25048,25792,28053,30008,32220,33743,33787,35344,37359,39139,42915,47162,48060,48579,48604,48610,51415,54758,57076,57403,57816,60134,62288,63996,65762,68832,70846,70856,71737,72844,73215,75053,76987,77598,79024,79344,81706,86085,89870,93940,94762,95700,98127,98226,98901,99922,100339,100795,100862,101839,102722,103824,105860,108629,109164,109545,112721,115386,118690,121711,124283,125032,125563,128385,131978,134688,137516,138859,139599,140114,140275,140452,140597,140680,141118,141961,143183,146490,152148,159178,165128,170112,172131,173375,175258,177317,179984,184454,194420,206271,218969,220483,250262,276562,288676,294461,302459,308840,337746,367493,391246,406140,417514,426461,432987,439079,446152,453280,460335,467099,470802,474842,480183,485471,490232,494725,499133,501887,502230,504729,506840,508486,510068,512011,512064,512148,513568,514816,516219,517571,518708,519043,519128,520626,521418,521851,522322,522723,522792,522806,523330,523568,524061,524301,524593,524635,524641,525080,525536,525927,526183
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,250,250,250,250,250,250,250,250,250,250,250,250,250,250,878,878,878,878,878,878,1299,1317,1317,1317,1659,1659,1660,1661,1661,1661,1662,2286,2286,2286,2286,2310,2310,2310,2310,2310,2313,2313,3090,3827,3827,3827,3827,3827,3839,3839,3839,3839,3988,4257,4311,4359,4396,4421,4457,4471,4548,4747,4759,4786,4806,4816,5302,5803,6198,6373,6870,7316,7317,7322,7329,8875,9268,9671,10041,10240,11715,12847,14081,15067,16072,16400,16420,16766,16999,17328,18716,19497,19605,19746,19878,19953,20213,21830,22388,22654,22746,23010,23087,23170,24512,24739,24925,25003,25228,25354,25573,26354,26912,27051,27132,27332,27514,27624,28540,29106,29338,29476,29798,30281,30796,31481,32154,32533,32667,33124,33354,33573,33984,34704,34956,35052,35430,35866,36409,36833,37292,37490,38512,41032,44030,47172,52131,56960,58954,60879,60879,65757,68510,70097,71197,71731,72198,73768,75127,80876,85723,88676,89597,90111,91671,93118,94073,97162,100264,101033,101335,102935,104159,105181,105995,106596,106983,107067,107758,108488,109343,109909,110234,110391,110391,110655,110886,111133,111336,109253,109323,109323,109515,109894,110244,110459,108479,108498,108498,108587,110863,111179,111438,111501,111505,111505,111661,111747,111884,111997
04,Carchi,186869,0.8121800000000000,-77.71633000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,192,196,196,196,196,196,196,375,416,417,417,417,417,417,547,665,665,665,665,665,665,665,1662,1662,1664,1675,1675,1675,1675,1982,2421,2421,2421,2778,2778,2778,3345,3345,3345,3345,3345,3345,3345,3355,3355,3355,3359,3359,3365,3365,3513,3823,3824,3991,4001,4002,4002,4011,4011,4011,4013,4384,4438,4440,4499,4499,4499,4721,4956,5683,6588,7357,7374,7379,8077,8077,10798,11676,12391,12391,12391,13095,13550,13795,13907,14285,14494,14931,15212,15450,15507,15597,16387,16388,16388,16886,17110,17288,17716,17915,17916,17916,18199,18232,18248,18249,18272,18273,18273,18410,18513,18778,19234,19680,19765,19773,20059,20561,21121,21399,21761,21902,21955,22209,22414,22620,22733,23152,23295,23309,23465,24762,25048,25187,26503,26591,26616,27294,27962,29057,29856,31001,32463,32570,33440,35297,36766,38530,41326,43121,44243,44243,49110,53861,58133,59984,60376,60376,66509,71274,75066,78648,81622,83552,84606,86857,89249,91812,94314,98023,101147,102111,105059,107872,109658,111273,113335,114640,115524,116708,117499,117990,118341,118730,118730,118730,119027,119484,119801,120157,120751,120761,120761,121031,121249,121390,121531,122336,122336,122336,122424,122569,122781,122929,123662,123662,123662,123821,123933,124092,124259
03,Cañar,281396,-2.733333000000000,-78.83333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,224,224,224,224,224,224,224,224,454,454,454,454,454,454,724,724,724,724,835,884,884,1198,1198,1198,1772,1772,1772,1994,2031,2031,2031,2084,3359,3360,3360,3360,3360,3364,3945,3945,3945,3945,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3969,3993,4385,4438,4469,4469,4469,4517,4931,5021,5069,5117,5135,5153,5669,5727,6026,6587,7295,7323,7335,7335,7340,9246,10778,10883,10883,11178,11586,11597,12154,12519,12720,13118,14118,14125,14136,14142,14403,14637,16346,16563,16580,16996,18730,20273,20614,20645,20670,20810,20874,20923,21048,21154,21162,21172,21662,22200,22655,23318,23974,24404,24458,25058,25655,26373,27035,27769,27982,28088,28628,29078,29656,30193,30577,30735,30812,30860,30882,30920,30974,30999,31059,31072,31469,32089,34128,35148,36565,37342,37632,38256,40185,41245,43352,46271,47782,49945,49945,57769,62297,66105,69340,71169,71887,76453,79754,85180,88878,92817,94370,96107,97650,99905,102309,103626,105711,107143,108588,110717,112146,113260,114386,116396,116848,117170,118141,119029,119649,120238,120867,120867,120867,121310,121912,122418,122733,123264,123264,123264,123688,123927,124060,124422,124544,124544,124544,124727,124850,124988,125100,125181,125181,125181,125283,125459,125644,125747
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,135,135,135,135,135,135,135,135,135,135,136,136,136,136,136,136,136,136,136,136,728,733,733,733,733,734,734,734,735,735,736,736,736,736,736,736,736,736,736,736,742,2089,2842,2842,2851,2913,3480,3480,3480,3480,3480,3480,3480,3481,3487,4446,5169,5321,5736,5878,5878,5930,7281,7793,7793,7877,7884,7884,7889,8687,10403,10887,10894,10921,11063,11577,11595,11611,11614,11637,11742,12801,14666,15582,16080,16098,16785,17745,18991,20588,21332,21334,21338,21338,21421,22664,24237,25703,25703,25703,26489,27137,27781,29240,30769,31253,31384,31912,32727,34242,36241,38463,38611,40086,41194,41952,42348,43031,43813,43886,43909,44334,44834,45835,47223,47809,47853,47929,48235,48567,49024,50031,50934,51499,51707,52791,54059,55235,56223,57418,57606,57716,58479,59031,59785,60461,61392,61655,62048,62978,63676,64362,65081,65939,66149,66343,67304,68732,70808,73789,76582,78504,79841,83091,86872,90650,94560,99305,102262,104740,104743,112536,118995,124261,128628,128870,129483,140015,143834,152692,161143,169690,172475,175177,182015,189655,196607,203178,211856,215720,218707,226630,233431,237970,242174,247101,248858,250082,253724,256318,258407,260051,261706,261759,261796,262432,263526,264250,264856,265155,265203,265262,265947,266565,267060,267478,267932,267973,268075,268810,269587,270034,270375,270853,270863,271019,271395,271779,272178,272470
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,113,113,113,113,113,113,113,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,116,736,736,736,736,1877,1880,1880,1880,1880,1880,2283,2283,2283,2283,2284,2284,2284,2284,2284,2285,2285,2285,2285,2285,2287,2483,3131,3131,3143,3143,3143,3143,3288,3647,3650,3695,3695,3695,3697,4113,4531,4531,4545,4597,5265,5360,5393,5423,5444,5477,5869,6770,7176,7204,7246,7281,7706,8910,10355,11181,11404,11423,11437,11443,11450,13672,15827,17205,18123,18123,18676,18863,19630,19904,20495,20710,20769,21444,21830,23627,26199,29558,31583,32042,32710,33091,34203,36774,38264,38333,38359,39244,39701,40083,40305,40473,40519,40664,41110,41755,42648,43831,45803,46090,46174,47200,48177,49259,50122,50969,51326,51558,52230,52760,53218,53658,54270,54732,54862,55381,55906,56388,56652,57452,58609,58862,59924,61082,63011,64639,65616,67260,68298,73715,77233,82688,88717,93942,97881,101079,101079,109741,116776,126655,131325,131892,132807,144420,158360,167867,173754,179555,181770,183996,190455,198977,207097,216469,225887,231825,235648,241200,244942,247959,251843,255767,258588,260165,262498,264059,265093,266039,267030,267054,267128,268113,269921,271634,273524,274608,274619,274640,275068,275545,275928,276287,276634,276647,276649,277061,277359,277623,277935,278131,278143,278154,278413,278604,278801,278985
07,El Oro,715751,-3.266667000000000,-79.96666700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,227,227,227,227,227,227,227,232,232,232,232,232,232,232,232,232,232,232,232,232,232,847,847,847,847,847,847,847,1790,2016,2016,2769,2769,2769,2769,3796,3796,3797,3797,3797,3800,5410,5790,5790,5790,5790,5794,8099,8099,9079,9085,9085,9109,9116,9514,9514,9514,9706,9707,10120,10228,10640,10652,11189,11189,11189,11191,11207,11289,11334,11353,11365,11376,11390,11427,12027,12547,13314,16648,17185,18460,19308,19709,20625,22463,24126,24305,24305,24305,24481,25745,26290,26676,26811,28299,28578,29243,30298,31146,31914,32079,32845,33191,33859,34565,37277,38462,38791,39113,39708,41982,43509,43954,44148,44240,44393,45281,47529,48613,50051,51157,51692,52449,54309,57143,59975,62285,63530,64096,65498,67189,68610,70496,72097,73384,74111,75579,76880,78589,80932,83414,84934,86468,88216,89635,90609,92986,93970,94597,94785,95914,96856,98199,99675,101184,102491,103725,108044,113966,120916,131326,142574,153779,160862,160862,182115,198006,212067,220927,223613,225177,245838,272943,294634,310084,321480,329733,334656,341607,351267,360025,368003,376065,382718,386353,394001,400196,405117,409415,413260,415608,417731,421934,424782,426936,428758,430215,430252,430272,432116,433861,435323,436421,437476,437476,437476,438778,439715,440749,441501,442261,442261,442261,443091,443716,444284,444742,445145,445145,445145,445617,446042,446366,446714
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,98,98,98,98,98,98,98,116,116,116,116,116,116,116,116,116,116,116,116,116,116,274,717,718,1036,1036,1036,1038,1038,1038,1041,1043,1043,1043,1043,1419,1423,1423,1423,1423,1423,1423,1423,1774,1775,2373,2377,2380,2380,2380,2687,2687,3358,3675,3675,3675,4074,4235,4235,4235,4235,4238,4464,4871,4964,4964,5329,5414,5414,5423,5474,5480,5480,5993,6186,6230,6239,6285,6285,6285,6297,6608,7039,7050,7053,7053,7053,7315,7602,8249,9184,9944,9992,10003,10374,10378,13749,15700,17903,18077,18077,18666,18913,19163,19408,19887,20090,20125,20631,20977,21299,21397,21929,21995,22045,22442,23056,23322,23776,24596,25481,25516,25960,26235,26617,27005,27143,27157,27190,27566,28148,29092,30750,32164,32489,32629,34273,35624,36548,37329,38621,39406,39644,40400,41139,41842,42527,43126,43306,43426,44083,44700,45650,46263,46542,46680,46731,48642,51008,53146,54226,55237,55500,55641,56989,60687,67990,76779,84663,91371,95404,96230,111109,124741,132405,137883,139604,140583,156264,169213,177725,183052,191131,193489,194320,202501,211835,221563,230088,240111,243545,244977,252886,259100,262560,265533,269762,270321,270721,273563,275589,277371,278787,280813,280846,280880,281460,282151,283200,283962,285059,285237,285254,286409,287292,288034,289046,289939,290116,290129,290639,291022,291439,291758,292226,292238,292251,292487,292731,292965,293156
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,287,317,317,317,317,317,317,317,317,317,318,318,318,2182,3427,3899,4700,4700,4700,4700,4700,4712,4714,4714,4738,4745,4745,4745,4745,4745,4896,5047,5047,5047,5064,5094,5099,5099,5134,5167,5167,5207,5213,5227,5234,5797,5882,5947,5973,5984,5984,5984,5984,5984,5984,7470,8558,8762,8762,9796,11499,11499,11499,11500,13462,15909,17252,18500,18501,18820,19087,19315,19331,19388,19436,19437,19754,20202,20203,20203,20297,20416,20416,20416,20416,20416,20747,20867,20867,20867,20867,21087,21260,21435,21435,21453,21453,21453,21502,21547,21902,21972,21984,21984,21991,22042,22042,22042,22042,22056,22056,22065,22071,22208,22208,22210,22210,22210,22210,22218,22238,22253,22258,22258,22258,22323,22377,22393,22396,22592,22646,22646,22664,22952,22952,23084,23096,23096,23096,23096,23180,23569,23581,23701,23701,23701,24001,24001,24001,24001,24249,24249,24249,24277,25097,25552,25591,25596,25596,25596,25596,25614,25614,25614,25615,25615,25615,25663,25674,25677,25685,25685,25685,25685,25694,25694,25694,25714,25535,25535,25535,25535,25554,25554,25577,25527,25527,25527,25527,25577,25579,25579,25579,25579,25579,25579,25636,25651,25679
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,655,655,655,655,655,655,655,749,749,749,750,750,750,1140,1463,1464,1464,1464,1465,1465,1465,1479,1481,1481,1481,1481,1481,1657,3845,4477,4478,4478,4645,4647,4657,8251,9118,9118,9119,9161,9163,9174,12442,14838,14845,14845,16057,16258,16262,20180,20180,20185,20220,22538,22670,23489,24081,24599,24599,24600,25992,26435,26449,31612,32252,32254,32256,33342,34952,37345,38507,38673,39426,39543,41901,45533,49073,49270,49523,49762,49818,49937,50308,50922,52302,53552,54263,54266,55014,57079,61526,66433,71786,75941,76149,80308,85503,92661,99900,110301,113956,115588,115593,116017,128324,137580,146001,148841,150125,157550,166539,176752,187575,198051,200936,201697,206985,210762,215391,224518,235011,238875,239593,245008,249882,254111,260487,265200,266617,267136,270757,275481,280569,288742,293518,295041,296164,301672,305498,310893,317928,326779,331524,333486,341427,349869,357862,366097,374618,377560,379262,386452,396702,408733,413859,418192,420561,423988,427255,430290,433640,438440,443832,446102,447578,451833,465926,485869,501196,514562,523264,541727,569578,596574,626000,658319,697683,731038,752833,752834,830222,900867,969624,1017406,1040148,1053219,1130270,1222282,1317263,1403865,1481937,1537392,1569950,1610823,1668811,1728097,1791699,1859043,1914688,1935546,1975096,2014047,2050618,2094540,2126384,2149451,2164614,2187865,2208177,2223736,2238039,2253456,2257544,2257544,2264378,2271835,2278879,2284619,2281060,2282841,2282841,2289213,2294819,2298817,2302310,2301001,2302011,2302020,2305581,2314082,2317515,2320661,2324269,2324908,2324908,2328028,2331456,2334710,2337499
