inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
01,Azuay,881394,-2.897414000000000,-79.00448100000000,164.42%,164.43%,164.58%,164.79%,165.04%,165.18%,165.35%,165.39%,82.83%,82.97%,83.12%,83.26%,83.36%,83.46%,83.49%,83.52%,83.61%,83.68%,83.73%,83.77%,83.8%,83.81%,83.83%,83.87%,83.89%,83.92%,83.95%,83.97%
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,169.43%,169.44%,169.68%,169.96%,170.31%,170.76%,171.08%,171.17%,85.59%,85.76%,85.97%,86.15%,86.3%,86.43%,86.48%,86.5%,86.61%,86.72%,86.84%,86.9%,86.99%,87%,87%,87.07%,87.11%,87.17%,87.21%,87.24%
04,Carchi,186869,0.8121800000000000,-77.71633000000000,194.36%,194.38%,194.56%,194.72%,194.91%,195.04%,195.21%,195.22%,97.63%,97.73%,97.85%,97.97%,98.11%,98.25%,98.26%,98.27%,98.38%,98.48%,98.56%,98.63%,98.7%,98.71%,98.71%,98.79%,98.84%,98.88%,98.92%,98.97%
03,Cañar,281396,-2.733333000000000,-78.83333300000000,141.96%,141.96%,142.15%,142.36%,142.53%,142.8%,142.99%,143.09%,71.71%,71.88%,72.11%,72.33%,72.5%,72.68%,72.75%,72.83%,73%,73.14%,73.26%,73.37%,73.47%,73.5%,73.55%,73.64%,73.72%,73.81%,73.86%,73.9%
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,156.26%,156.3%,156.49%,156.72%,156.9%,157.1%,157.29%,157.34%,78.7%,78.8%,78.95%,79.08%,79.22%,79.33%,79.37%,79.42%,79.53%,79.62%,79.67%,79.71%,79.76%,79.78%,79.8%,79.86%,79.89%,79.92%,79.95%,79.99%
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,169.71%,169.72%,169.92%,170.14%,170.41%,170.68%,170.97%,171.03%,85.54%,85.71%,85.93%,86.09%,86.29%,86.45%,86.49%,86.52%,86.64%,86.74%,86.83%,86.92%,86.98%,87%,87.01%,87.08%,87.13%,87.17%,87.21%,87.25%
07,El Oro,715751,-3.266667000000000,-79.96666700000000,172.14%,172.15%,172.32%,172.53%,172.76%,172.99%,173.22%,173.31%,86.72%,86.85%,87.01%,87.16%,87.3%,87.42%,87.46%,87.49%,87.6%,87.69%,87.77%,87.84%,87.9%,87.92%,87.95%,88.02%,88.08%,88.13%,88.2%,88.25%
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,156.65%,156.65%,156.79%,157%,157.22%,157.48%,157.75%,157.96%,79.08%,79.31%,79.56%,79.77%,79.99%,80.17%,80.27%,80.31%,80.46%,80.65%,80.79%,80.9%,81%,81.05%,81.08%,81.18%,81.27%,81.37%,81.48%,81.57%
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,180.52%,180.52%,180.52%,180.52%,180.55%,180.7%,181.04%,181.04%,90.42%,90.45%,90.49%,90.51%,90.54%,90.56%,90.56%,90.56%,90.58%,90.61%,90.64%,90.82%,90.9%,90.9%,90.9%,90.92%,90.92%,90.94%,90.94%,90.98%
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,154.63%,154.64%,154.9%,155.19%,155.51%,155.83%,156.12%,156.21%,78.14%,78.32%,78.54%,78.77%,78.98%,79.16%,79.21%,79.24%,79.41%,79.55%,79.68%,79.79%,79.9%,79.92%,79.94%,80.02%,80.09%,80.16%,80.22%,80.27%
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,168.28%,168.29%,168.49%,168.7%,168.92%,169.17%,169.43%,169.52%,84.79%,84.96%,85.13%,85.28%,85.44%,85.58%,85.66%,85.71%,85.87%,85.99%,86.07%,86.14%,86.18%,86.2%,86.21%,86.26%,86.34%,86.4%,86.46%,86.51%
11,Loja,521154,-3.983333000000000,-79.20000000000000,166.78%,166.79%,166.89%,167.02%,167.15%,167.28%,167.41%,167.44%,83.74%,83.85%,83.99%,84.13%,84.27%,84.38%,84.42%,84.46%,84.54%,84.64%,84.7%,84.76%,84.8%,84.81%,84.83%,84.88%,84.92%,84.96%,84.99%,85.02%
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,150.01%,150.01%,150.3%,150.68%,151.14%,151.59%,152%,152.12%,76.1%,76.32%,76.58%,76.89%,77.13%,77.34%,77.39%,77.42%,77.6%,77.76%,77.91%,78.04%,78.18%,78.21%,78.24%,78.33%,78.43%,78.52%,78.61%,78.66%
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,171.97%,171.99%,172.14%,172.36%,172.66%,172.93%,173.19%,173.27%,86.66%,86.86%,87.03%,87.2%,87.36%,87.5%,87.53%,87.54%,87.67%,87.78%,87.86%,87.94%,88.02%,88.03%,88.04%,88.11%,88.17%,88.23%,88.27%,88.31%
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,122.04%,122.07%,122.4%,122.89%,123.35%,124.02%,124.06%,124.06%,62.67%,63.29%,63.85%,64.4%,64.83%,65.21%,65.27%,65.41%,65.71%,65.88%,66.03%,66.18%,66.28%,66.31%,66.36%,66.48%,66.59%,66.68%,66.77%,66.78%
15,Napo,133705,-0.9890000000000000,-77.81590000000000,168.71%,168.72%,168.86%,169.05%,169.24%,169.44%,169.6%,169.69%,84.87%,85.04%,85.07%,85.28%,85.36%,85.53%,85.6%,85.66%,85.79%,85.8%,85.9%,86%,86.1%,86.14%,86.16%,86.17%,86.23%,86.3%,86.38%,86.38%
