provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,9.07%,9.11%,9.43%,9.95%,10.53%,10.81%,11.27%,11.38%
Bolívar,209933,-1.605556000000000,-79.00305600000000,8.79%,8.79%,8.93%,9.11%,9.3%,9.62%,9.95%,10.04%
Carchi,186869,0.8121800000000000,-77.71633000000000,8.02%,8.03%,8.33%,8.71%,9.09%,9.51%,9.88%,9.96%
Cañar,281396,-2.733333000000000,-78.83333300000000,7.42%,7.43%,7.75%,8.12%,8.45%,8.84%,9.23%,9.32%
Chimborazo,524004,-1.674347000000000,-78.64829400000001,7.78%,7.81%,8.12%,8.48%,8.84%,9.17%,9.54%,9.68%
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,7.28%,7.3%,7.61%,8%,8.38%,8.76%,9.18%,9.33%
El Oro,715751,-3.266667000000000,-79.96666700000000,6.23%,6.24%,6.58%,7.03%,7.55%,8.07%,8.67%,8.85%
Esmeraldas,591083,1.050000000000000,-79.20000000000000,3.85%,3.85%,3.99%,4.2%,4.44%,4.7%,5%,5.19%
Galápagos,33042,-0.8000000000000000,-89.40000000000001,35.78%,35.78%,36.15%,36.55%,37.2%,37.75%,38.27%,38.3%
Guayas,4387434,-2.183333000000000,-79.88333299999999,4.64%,4.64%,4.84%,5.09%,5.37%,5.63%,5.9%,6%
Imbabura,476257,0.3626780000000000,-78.13066700000000,7.44%,7.45%,7.79%,8.07%,8.35%,8.76%,9.27%,9.48%
Loja,521154,-3.983333000000000,-79.20000000000000,9.8%,9.81%,10.18%,10.59%,11%,11.47%,11.85%,12%
Los Ríos,921763,-1.800000000000000,-79.53333300000000,3.39%,3.39%,3.48%,3.64%,3.84%,4.03%,4.22%,4.29%
Manabí,1562079,-1.056181000000000,-80.45521700000000,4.34%,4.35%,4.54%,4.84%,5.23%,5.58%,5.88%,6%
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,4.78%,4.79%,4.88%,5.02%,5.15%,5.37%,5.38%,5.38%
Napo,133705,-0.9890000000000000,-77.81590000000000,4.63%,4.64%,4.75%,4.97%,5.17%,5.31%,5.49%,5.56%
Orellana,161338,-0.4666670000000000,-76.96666700000000,3.88%,3.88%,3.95%,4.07%,4.26%,4.34%,4.46%,4.53%
Pastaza,114202,-1.066667000000000,-78.00111099999999,5.6%,5.63%,5.79%,6.07%,6.44%,6.76%,7.06%,7.23%
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,10.09%,10.15%,10.61%,11.21%,11.79%,12.42%,13.1%,13.47%
Santa Elena,401178,-2.226700000000000,-80.85830000000000,4.49%,4.49%,4.63%,4.82%,5.05%,5.34%,5.61%,5.66%
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,3.62%,3.64%,3.77%,3.94%,4.13%,4.35%,4.56%,4.66%
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,3.74%,3.78%,3.89%,4.01%,4.16%,4.29%,4.49%,4.74%
Tungurahua,590600,-1.241667000000000,-78.61972200000000,7.54%,7.58%,8%,8.55%,9.1%,9.68%,10.39%,10.55%
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,5.35%,5.39%,5.52%,5.84%,6.17%,6.67%,7.21%,7.35%
