inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
01,Azuay,881394,-2.897414000000000,-79.00448100000000,9.07%,9.11%,9.43%,9.95%,10.53%,10.81%,11.27%,11.38%,11.96%,12.49%,13.01%,13.54%,13.94%,14.37%,14.69%,15.06%,15.67%,16.35%,17.08%,17.73%,18.28%,18.44%,18.56%,18.75%,18.95%,19.14%,19.39%,19.81%
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,8.79%,8.79%,8.93%,9.11%,9.3%,9.62%,9.95%,10.04%,10.16%,10.45%,10.81%,11.14%,11.43%,11.68%,11.78%,11.84%,12.12%,12.47%,12.81%,13.06%,13.33%,13.42%,13.46%,13.7%,13.88%,14.08%,14.26%,14.46%
04,Carchi,186869,0.8121800000000000,-77.71633000000000,8.02%,8.03%,8.33%,8.71%,9.09%,9.51%,9.88%,9.96%,9.99%,10.73%,11.59%,12.18%,12.62%,13.11%,13.16%,13.2%,13.62%,14%,14.35%,14.62%,14.89%,14.92%,14.94%,15.25%,15.53%,15.82%,16.07%,16.35%
03,Cañar,281396,-2.733333000000000,-78.83333300000000,7.42%,7.43%,7.75%,8.12%,8.45%,8.84%,9.23%,9.32%,9.61%,10.03%,10.5%,10.95%,11.33%,11.87%,12%,12.13%,12.48%,12.85%,13.29%,13.62%,14.15%,14.32%,14.49%,14.94%,15.49%,16.02%,16.42%,16.88%
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,7.78%,7.81%,8.12%,8.48%,8.84%,9.17%,9.54%,9.68%,9.81%,10.25%,10.78%,11.27%,11.89%,12.36%,12.55%,12.75%,13.3%,13.7%,13.94%,14.19%,14.52%,14.66%,14.79%,15.03%,15.29%,15.47%,15.65%,15.89%
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,7.28%,7.3%,7.61%,8%,8.38%,8.76%,9.18%,9.33%,9.46%,9.97%,10.44%,10.92%,11.43%,11.95%,12.1%,12.19%,12.92%,13.87%,14.8%,15.3%,16.24%,16.74%,16.82%,17.05%,17.39%,17.64%,17.96%,18.3%
07,El Oro,715751,-3.266667000000000,-79.96666700000000,6.23%,6.24%,6.58%,7.03%,7.55%,8.07%,8.67%,8.85%,9.02%,9.52%,10.05%,10.43%,10.75%,11.08%,11.26%,11.39%,11.68%,11.96%,12.24%,12.59%,13%,13.2%,13.3%,13.61%,13.94%,14.2%,14.52%,14.93%
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,3.85%,3.85%,3.99%,4.2%,4.44%,4.7%,5%,5.19%,5.39%,5.77%,6.18%,6.48%,6.7%,6.92%,7.07%,7.14%,7.43%,7.81%,8.07%,8.3%,8.47%,8.56%,8.62%,8.79%,8.97%,9.12%,9.32%,9.5%
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,35.78%,35.78%,36.15%,36.55%,37.2%,37.75%,38.27%,38.3%,38.3%,38.71%,39.54%,40.45%,41.2%,42.13%,42.13%,42.13%,42.34%,42.52%,42.76%,43.02%,43.43%,43.85%,43.85%,43.97%,44.15%,44.33%,44.39%,44.56%
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,4.64%,4.64%,4.84%,5.09%,5.37%,5.63%,5.9%,6%,6.05%,6.3%,6.57%,6.82%,7.04%,7.29%,7.37%,7.42%,7.64%,7.92%,8.17%,8.43%,8.7%,8.79%,8.83%,9.05%,9.28%,9.47%,9.67%,9.88%
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,7.44%,7.45%,7.79%,8.07%,8.35%,8.76%,9.27%,9.48%,9.58%,10.21%,10.87%,11.39%,12.03%,12.63%,12.81%,12.95%,13.64%,14.29%,14.72%,15.06%,15.45%,15.66%,15.72%,16.04%,16.4%,16.7%,17.01%,17.29%
11,Loja,521154,-3.983333000000000,-79.20000000000000,9.8%,9.81%,10.18%,10.59%,11%,11.47%,11.85%,12%,12.14%,12.63%,13.19%,13.7%,14.14%,14.69%,14.92%,15.09%,15.57%,16.01%,16.37%,16.72%,16.97%,17.15%,17.36%,17.61%,17.91%,18.16%,18.41%,18.62%
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,3.39%,3.39%,3.48%,3.64%,3.84%,4.03%,4.22%,4.29%,4.34%,4.54%,4.73%,4.92%,5.09%,5.26%,5.32%,5.35%,5.53%,5.72%,5.91%,6.09%,6.28%,6.37%,6.4%,6.57%,6.74%,6.89%,7.07%,7.29%
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,4.34%,4.35%,4.54%,4.84%,5.23%,5.58%,5.88%,6%,6.07%,6.54%,7.01%,7.41%,7.75%,8.17%,8.31%,8.41%,8.68%,8.93%,9.11%,9.3%,9.65%,9.89%,9.95%,10.18%,10.4%,10.63%,10.85%,11.06%
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,4.78%,4.79%,4.88%,5.02%,5.15%,5.37%,5.38%,5.38%,5.8%,6.14%,6.42%,6.79%,7.06%,7.37%,7.39%,7.44%,7.73%,7.92%,8.16%,8.34%,8.46%,8.53%,8.6%,8.75%,8.89%,8.99%,9.11%,9.14%
15,Napo,133705,-0.9890000000000000,-77.81590000000000,4.63%,4.64%,4.75%,4.97%,5.17%,5.31%,5.49%,5.56%,5.59%,5.76%,5.82%,6.16%,6.32%,6.59%,6.66%,6.73%,6.91%,6.97%,7.25%,7.48%,7.6%,7.63%,7.66%,7.68%,7.99%,8.36%,8.63%,8.96%
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,3.88%,3.88%,3.95%,4.07%,4.26%,4.34%,4.46%,4.53%,4.47%,4.69%,4.92%,5.14%,5.16%,5.42%,5.66%,5.82%,6.24%,6.29%,6.75%,7.05%,7.42%,7.54%,7.69%,7.88%,8.08%,8.28%,8.61%,8.87%
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,5.6%,5.63%,5.79%,6.07%,6.44%,6.76%,7.06%,7.23%,7.37%,7.81%,8.19%,8.54%,8.96%,9.37%,9.51%,9.6%,9.85%,10.17%,10.41%,10.64%,10.97%,11.06%,11.13%,11.3%,11.49%,11.63%,11.82%,12.06%
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,10.09%,10.15%,10.61%,11.21%,11.79%,12.42%,13.1%,13.47%,13.71%,14.33%,15.03%,15.84%,16.57%,17.43%,17.92%,18.14%,18.67%,19.25%,19.7%,20.14%,20.68%,21.12%,21.38%,21.74%,22.08%,22.43%,22.78%,23.26%
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,4.49%,4.49%,4.63%,4.82%,5.05%,5.34%,5.61%,5.66%,5.71%,5.97%,6.14%,6.35%,6.51%,6.66%,6.71%,6.73%,6.94%,7.13%,7.26%,7.41%,7.54%,7.62%,7.64%,7.87%,8.09%,8.31%,8.65%,8.91%
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,3.62%,3.64%,3.77%,3.94%,4.13%,4.35%,4.56%,4.66%,4.74%,5.04%,5.31%,5.58%,5.83%,6.02%,6.06%,6.1%,6.32%,6.55%,6.74%,6.94%,7.13%,7.16%,7.18%,7.36%,7.64%,7.83%,7.98%,8.2%
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,3.74%,3.78%,3.89%,4.01%,4.16%,4.29%,4.49%,4.74%,4.95%,5.35%,5.72%,6.08%,6.38%,6.6%,6.85%,7%,7.24%,7.44%,7.68%,7.91%,8.2%,8.46%,8.7%,8.95%,9.23%,9.48%,9.75%,10.03%
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,7.54%,7.58%,8%,8.55%,9.1%,9.68%,10.39%,10.55%,10.69%,11.11%,11.43%,12.24%,13.03%,13.65%,13.82%,13.9%,14.66%,15.36%,15.83%,16.18%,16.72%,16.92%,17.02%,17.26%,17.56%,17.81%,18.06%,18.34%
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,5.35%,5.39%,5.52%,5.84%,6.17%,6.67%,7.21%,7.35%,7.53%,7.88%,8.29%,8.73%,9.22%,9.61%,9.86%,10.12%,10.33%,10.69%,11%,11.19%,11.4%,11.49%,11.59%,11.77%,11.97%,12.16%,12.52%,12.92%
