provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,83.06%,83.09%,83.33%,83.72%,84.16%,84.39%,84.72%,84.79%,85.45%,85.87%,86.29%,86.7%,87.02%,87.34%,87.54%,87.75%,88.15%,88.57%,88.99%,89.36%,89.67%,89.77%,89.85%,89.98%,90.11%,90.24%,90.41%,90.65%
Bolívar,209933,-1.605556000000000,-79.00305600000000,80.34%,80.34%,80.57%,80.85%,81.18%,81.61%,81.99%,82.09%,82.16%,82.52%,82.96%,83.43%,83.82%,84.13%,84.23%,84.28%,84.54%,84.86%,85.21%,85.44%,85.66%,85.72%,85.75%,85.96%,86.12%,86.35%,86.51%,86.68%
Carchi,186869,0.8121800000000000,-77.71633000000000,92.55%,92.56%,92.8%,93.07%,93.37%,93.65%,93.93%,93.98%,94.01%,94.5%,95.06%,95.48%,95.84%,96.24%,96.27%,96.29%,96.62%,96.89%,97.13%,97.34%,97.54%,97.56%,97.58%,97.81%,98%,98.2%,98.36%,98.55%
Cañar,281396,-2.733333000000000,-78.83333300000000,69.26%,69.27%,69.52%,69.84%,70.09%,70.42%,70.74%,70.83%,71.17%,71.58%,72.06%,72.5%,72.89%,73.34%,73.47%,73.6%,73.94%,74.25%,74.59%,74.87%,75.23%,75.36%,75.49%,75.81%,76.17%,76.53%,76.79%,77.08%
Chimborazo,524004,-1.674347000000000,-78.64829400000001,75.66%,75.7%,75.97%,76.3%,76.59%,76.88%,77.17%,77.26%,77.37%,77.72%,78.17%,78.57%,79.04%,79.42%,79.59%,79.78%,80.21%,80.5%,80.68%,80.85%,81.08%,81.18%,81.28%,81.49%,81.67%,81.8%,81.94%,82.11%
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,80.89%,80.9%,81.16%,81.5%,81.92%,82.33%,82.77%,82.87%,82.97%,83.43%,83.96%,84.39%,84.84%,85.25%,85.38%,85.45%,85.93%,86.58%,87.22%,87.58%,88.12%,88.4%,88.45%,88.64%,88.87%,89.06%,89.26%,89.48%
El Oro,715751,-3.266667000000000,-79.96666700000000,83.83%,83.84%,84.11%,84.46%,84.86%,85.25%,85.69%,85.84%,85.99%,86.4%,86.85%,87.21%,87.53%,87.84%,87.98%,88.08%,88.34%,88.58%,88.81%,89.07%,89.35%,89.48%,89.56%,89.8%,90.04%,90.23%,90.46%,90.73%
Esmeraldas,591083,1.050000000000000,-79.20000000000000,71.95%,71.95%,72.09%,72.3%,72.52%,72.8%,73.1%,73.3%,73.52%,73.96%,74.43%,74.81%,75.15%,75.42%,75.59%,75.66%,75.94%,76.32%,76.6%,76.82%,77%,77.09%,77.15%,77.32%,77.51%,77.7%,77.93%,78.12%
Galápagos,33042,-0.8000000000000000,-89.40000000000001,106.19%,106.19%,106.38%,106.6%,106.94%,107.32%,107.71%,107.72%,107.61%,107.83%,108.33%,108.79%,109.22%,109.71%,109.71%,109.71%,109.83%,109.94%,110.1%,110.39%,110.67%,110.88%,110.88%,110.96%,111.08%,111.18%,111.21%,111.36%
Guayas,4387434,-2.183333000000000,-79.88333299999999,73.38%,73.38%,73.63%,73.92%,74.24%,74.54%,74.83%,74.93%,75%,75.31%,75.67%,76.01%,76.33%,76.65%,76.74%,76.79%,77.07%,77.35%,77.61%,77.86%,78.12%,78.2%,78.23%,78.43%,78.62%,78.8%,78.97%,79.15%
Imbabura,476257,0.3626780000000000,-78.13066700000000,84.37%,84.38%,84.66%,84.92%,85.16%,85.5%,85.88%,86.02%,86.09%,86.56%,87.06%,87.48%,87.95%,88.39%,88.55%,88.66%,89.15%,89.6%,89.89%,90.13%,90.37%,90.5%,90.54%,90.75%,91.02%,91.26%,91.49%,91.7%
Loja,521154,-3.983333000000000,-79.20000000000000,84.87%,84.88%,85.14%,85.43%,85.74%,86.07%,86.35%,86.45%,86.55%,86.94%,87.4%,87.85%,88.24%,88.66%,88.84%,88.97%,89.31%,89.63%,89.89%,90.13%,90.3%,90.41%,90.54%,90.72%,90.92%,91.09%,91.25%,91.39%
Los Ríos,921763,-1.800000000000000,-79.53333300000000,68.1%,68.1%,68.31%,68.59%,68.96%,69.32%,69.64%,69.74%,69.81%,70.16%,70.59%,71.02%,71.36%,71.65%,71.73%,71.78%,72.04%,72.3%,72.54%,72.78%,73.09%,73.19%,73.24%,73.44%,73.66%,73.86%,74.08%,74.3%
Manabí,1562079,-1.056181000000000,-80.45521700000000,81.58%,81.6%,81.79%,82.08%,82.46%,82.83%,83.15%,83.25%,83.32%,83.81%,84.27%,84.66%,85.01%,85.38%,85.48%,85.55%,85.81%,86.06%,86.26%,86.45%,86.73%,86.87%,86.91%,87.12%,87.31%,87.51%,87.68%,87.84%
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,56%,56.02%,56.21%,56.46%,56.67%,57.03%,57.05%,57.05%,57.8%,58.4%,58.95%,59.55%,59.99%,60.41%,60.48%,60.59%,60.97%,61.23%,61.49%,61.71%,61.84%,61.91%,61.97%,62.16%,62.33%,62.47%,62.61%,62.64%
Napo,133705,-0.9890000000000000,-77.81590000000000,79.25%,79.27%,79.41%,79.67%,79.93%,80.13%,80.3%,80.41%,80.48%,80.78%,80.84%,81.25%,81.43%,81.83%,81.94%,82.04%,82.27%,82.31%,82.56%,82.81%,82.96%,83.01%,83.05%,83.07%,83.3%,83.57%,83.79%,83.96%
Orellana,161338,-0.4666670000000000,-76.96666700000000,76.04%,76.04%,76.19%,76.39%,76.62%,76.81%,77.07%,77.15%,76.74%,77.19%,77.68%,78.18%,78.19%,78.65%,78.89%,79.04%,79.51%,79.53%,79.89%,80.24%,80.59%,80.69%,80.78%,80.97%,81.14%,81.34%,81.6%,81.87%
Pastaza,114202,-1.066667000000000,-78.00111099999999,65.21%,65.25%,65.45%,65.71%,66.04%,66.34%,66.61%,66.76%,66.93%,67.31%,67.7%,68.07%,68.46%,68.83%,68.95%,69.04%,69.34%,69.68%,69.95%,70.19%,70.46%,70.56%,70.63%,70.81%,70.97%,71.09%,71.24%,71.42%
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,89.91%,89.94%,90.26%,90.65%,91.04%,91.46%,91.9%,92.12%,92.19%,92.61%,93.08%,93.6%,94.05%,94.58%,94.87%,94.99%,95.33%,95.68%,95.95%,96.22%,96.5%,96.73%,96.87%,97.08%,97.28%,97.49%,97.7%,97.96%
Santa Elena,401178,-2.226700000000000,-80.85830000000000,70.68%,70.68%,70.89%,71.23%,71.53%,71.94%,72.31%,72.38%,72.45%,72.77%,73.03%,73.32%,73.55%,73.77%,73.88%,73.95%,74.2%,74.41%,74.53%,74.7%,74.88%,74.97%,75%,75.22%,75.44%,75.64%,75.9%,76.11%
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,70.45%,70.49%,70.71%,70.97%,71.25%,71.56%,71.86%,71.97%,72.07%,72.45%,72.87%,73.3%,73.71%,74.01%,74.08%,74.15%,74.5%,74.8%,75.05%,75.3%,75.52%,75.56%,75.59%,75.81%,76.06%,76.29%,76.46%,76.69%
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,69.75%,69.83%,69.99%,70.16%,70.37%,70.56%,70.78%,71.04%,71.24%,71.68%,72.08%,72.49%,72.83%,73.1%,73.34%,73.52%,73.8%,74.03%,74.28%,74.51%,74.77%,74.98%,75.17%,75.38%,75.63%,75.84%,76.07%,76.29%
Tungurahua,590600,-1.241667000000000,-78.61972200000000,83.17%,83.2%,83.47%,83.84%,84.21%,84.59%,85.03%,85.14%,85.22%,85.53%,85.78%,86.38%,86.89%,87.29%,87.5%,87.58%,88.11%,88.54%,88.86%,89.08%,89.42%,89.57%,89.64%,89.84%,90.07%,90.25%,90.42%,90.6%
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,71.74%,71.77%,71.93%,72.27%,72.59%,72.98%,73.42%,73.57%,73.78%,74.28%,74.88%,75.52%,76.12%,76.71%,76.98%,77.27%,77.57%,77.9%,78.18%,78.36%,78.6%,78.67%,78.79%,78.97%,79.17%,79.34%,79.57%,79.83%
