provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,1.83%,1.83%,1.84%,1.85%,1.86%,1.88%,1.89%,1.89%
Bolívar,209933,-1.605556000000000,-79.00305600000000,3.22%,3.22%,3.24%,3.25%,3.27%,3.28%,3.29%,3.29%
Carchi,186869,0.8121800000000000,-77.71633000000000,3.96%,3.96%,3.98%,4%,4.02%,4.04%,4.06%,4.06%
Cañar,281396,-2.733333000000000,-78.83333300000000,3.02%,3.02%,3.03%,3.04%,3.05%,3.06%,3.08%,3.08%
Chimborazo,524004,-1.674347000000000,-78.64829400000001,2.69%,2.7%,2.73%,2.77%,2.79%,2.83%,2.86%,2.87%
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,5.61%,5.61%,5.63%,5.66%,5.69%,5.72%,5.73%,5.74%
El Oro,715751,-3.266667000000000,-79.96666700000000,2.03%,2.03%,2.05%,2.07%,2.1%,2.12%,2.14%,2.15%
Esmeraldas,591083,1.050000000000000,-79.20000000000000,5.06%,5.06%,5.08%,5.11%,5.14%,5.16%,5.19%,5.19%
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0%,0%,0%,0%,0%,0%,0%,0%
Guayas,4387434,-2.183333000000000,-79.88333299999999,2.14%,2.14%,2.15%,2.16%,2.18%,2.19%,2.2%,2.2%
Imbabura,476257,0.3626780000000000,-78.13066700000000,3.07%,3.08%,3.1%,3.12%,3.16%,3.22%,3.28%,3.31%
Loja,521154,-3.983333000000000,-79.20000000000000,0.99%,0.99%,1%,1.01%,1.03%,1.04%,1.05%,1.05%
Los Ríos,921763,-1.800000000000000,-79.53333300000000,2.88%,2.88%,2.9%,2.92%,2.94%,2.97%,2.99%,2.99%
Manabí,1562079,-1.056181000000000,-80.45521700000000,3.24%,3.24%,3.26%,3.28%,3.3%,3.33%,3.36%,3.36%
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,5.43%,5.43%,5.46%,5.52%,5.55%,5.62%,5.62%,5.62%
Napo,133705,-0.9890000000000000,-77.81590000000000,2.71%,2.71%,2.71%,2.72%,2.73%,2.74%,2.75%,2.75%
Orellana,161338,-0.4666670000000000,-76.96666700000000,3.15%,3.15%,3.15%,3.15%,3.15%,3.15%,3.15%,3.15%
Pastaza,114202,-1.066667000000000,-78.00111099999999,5.13%,5.14%,5.17%,5.19%,5.22%,5.27%,5.31%,5.34%
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1.78%,1.78%,1.78%,1.79%,1.8%,1.81%,1.81%,1.81%
Santa Elena,401178,-2.226700000000000,-80.85830000000000,2.25%,2.25%,2.29%,2.32%,2.35%,2.38%,2.39%,2.39%
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,5.79%,5.8%,5.85%,5.92%,5.98%,6.03%,6.11%,6.14%
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,3.69%,3.7%,3.7%,3.72%,3.73%,3.74%,3.75%,3.76%
Tungurahua,590600,-1.241667000000000,-78.61972200000000,4.82%,4.82%,4.85%,4.88%,4.91%,4.95%,4.99%,5%
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,2.31%,2.32%,2.34%,2.35%,2.36%,2.36%,2.37%,2.38%
