inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
01,Azuay,881394,-2.897414000000000,-79.00448100000000,1.83%,1.83%,1.84%,1.85%,1.86%,1.88%,1.89%,1.89%,1.92%,1.95%,1.97%,1.99%,2.01%,2.03%,2.04%,2.05%,2.07%,2.08%,2.09%,2.1%,2.1%,2.11%,2.11%,2.11%,2.12%,2.12%,2.13%,2.13%
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,3.22%,3.22%,3.24%,3.25%,3.27%,3.28%,3.29%,3.29%,3.29%,3.3%,3.31%,3.32%,3.34%,3.34%,3.34%,3.35%,3.36%,3.37%,3.37%,3.38%,3.38%,3.38%,3.38%,3.38%,3.39%,3.39%,3.39%,3.4%
04,Carchi,186869,0.8121800000000000,-77.71633000000000,3.96%,3.96%,3.98%,4%,4.02%,4.04%,4.06%,4.06%,4.07%,4.1%,4.14%,4.19%,4.24%,4.3%,4.3%,4.31%,4.35%,4.38%,4.42%,4.46%,4.49%,4.5%,4.5%,4.54%,4.55%,4.58%,4.6%,4.61%
03,Cañar,281396,-2.733333000000000,-78.83333300000000,3.02%,3.02%,3.03%,3.04%,3.05%,3.06%,3.08%,3.08%,3.1%,3.11%,3.13%,3.15%,3.16%,3.18%,3.18%,3.19%,3.2%,3.21%,3.22%,3.23%,3.23%,3.24%,3.24%,3.24%,3.25%,3.26%,3.26%,3.26%
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,2.69%,2.7%,2.73%,2.77%,2.79%,2.83%,2.86%,2.87%,2.88%,2.91%,2.96%,3.01%,3.05%,3.09%,3.1%,3.11%,3.14%,3.17%,3.18%,3.2%,3.21%,3.21%,3.22%,3.23%,3.24%,3.25%,3.25%,3.26%
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,5.61%,5.61%,5.63%,5.66%,5.69%,5.72%,5.73%,5.74%,5.74%,5.77%,5.8%,5.83%,5.86%,5.89%,5.9%,5.9%,5.92%,5.94%,5.95%,5.96%,5.98%,5.98%,5.98%,6%,6.01%,6.01%,6.02%,6.03%
07,El Oro,715751,-3.266667000000000,-79.96666700000000,2.03%,2.03%,2.05%,2.07%,2.1%,2.12%,2.14%,2.15%,2.17%,2.19%,2.22%,2.27%,2.31%,2.34%,2.36%,2.37%,2.4%,2.43%,2.45%,2.47%,2.48%,2.49%,2.51%,2.53%,2.54%,2.56%,2.57%,2.59%
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,5.06%,5.06%,5.08%,5.11%,5.14%,5.16%,5.19%,5.19%,5.2%,5.24%,5.3%,5.35%,5.41%,5.49%,5.51%,5.52%,5.57%,5.62%,5.66%,5.7%,5.73%,5.74%,5.75%,5.78%,5.8%,5.82%,5.84%,5.86%
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,2.14%,2.14%,2.15%,2.16%,2.18%,2.19%,2.2%,2.2%,2.2%,2.21%,2.22%,2.23%,2.24%,2.25%,2.25%,2.25%,2.26%,2.27%,2.28%,2.28%,2.29%,2.29%,2.29%,2.29%,2.3%,2.3%,2.31%,2.31%
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,3.07%,3.08%,3.1%,3.12%,3.16%,3.22%,3.28%,3.31%,3.33%,3.4%,3.47%,3.53%,3.6%,3.64%,3.65%,3.65%,3.69%,3.7%,3.71%,3.72%,3.73%,3.73%,3.74%,3.74%,3.76%,3.77%,3.77%,3.78%
11,Loja,521154,-3.983333000000000,-79.20000000000000,0.99%,0.99%,1%,1.01%,1.03%,1.04%,1.05%,1.05%,1.05%,1.07%,1.09%,1.12%,1.16%,1.19%,1.2%,1.21%,1.23%,1.26%,1.27%,1.3%,1.31%,1.31%,1.32%,1.33%,1.34%,1.35%,1.36%,1.37%
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,2.88%,2.88%,2.9%,2.92%,2.94%,2.97%,2.99%,2.99%,2.99%,3.02%,3.05%,3.08%,3.11%,3.14%,3.14%,3.15%,3.17%,3.19%,3.2%,3.21%,3.22%,3.23%,3.23%,3.24%,3.25%,3.26%,3.27%,3.27%
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,3.24%,3.24%,3.26%,3.28%,3.3%,3.33%,3.36%,3.36%,3.37%,3.4%,3.43%,3.48%,3.52%,3.55%,3.55%,3.56%,3.58%,3.59%,3.6%,3.61%,3.62%,3.63%,3.63%,3.64%,3.64%,3.65%,3.65%,3.66%
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,5.43%,5.43%,5.46%,5.52%,5.55%,5.62%,5.62%,5.62%,5.79%,5.89%,5.99%,6.07%,6.13%,6.19%,6.2%,6.24%,6.29%,6.32%,6.34%,6.37%,6.38%,6.39%,6.39%,6.41%,6.44%,6.45%,6.46%,6.47%
15,Napo,133705,-0.9890000000000000,-77.81590000000000,2.71%,2.71%,2.71%,2.72%,2.73%,2.74%,2.75%,2.75%,2.76%,2.77%,2.78%,2.79%,2.79%,2.8%,2.8%,2.82%,2.84%,2.84%,2.84%,2.84%,2.84%,2.84%,2.85%,2.85%,2.85%,2.85%,2.86%,2.86%
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,3.15%,3.15%,3.15%,3.15%,3.15%,3.15%,3.15%,3.15%,3.11%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%,3.12%
